ticker,cell,side,fill_price,fill_ts,bid_at_fill,ask_at_fill,spread_at_fill,mid_at_fill,mid_30min_before,price_change_30min,direction_30min,oscillation_range,n_window_snaps,paired
KXATPCHALLENGERMATCH-26APR27GALSWE-SWE,ATP_CHALL_underdog_40-44,underdog,43,2026-04-26 11:19:18 PM ET,43,44,1,43.5,43.0,1.0,TRENDING_UP,1.0,6,True
KXATPCHALLENGERMATCH-26APR27MATJAS-JAS,ATP_CHALL_underdog_40-44,underdog,40,2026-04-26 11:43:20 PM ET,38,40,2,39.0,41.0,0.5,TRENDING_UP,0.5,6,False
KXATPCHALLENGERMATCH-26APR27LAJSAN-LAJ,ATP_CHALL_leader_70-74,leader,72,2026-04-26 11:44:07 PM ET,71,73,2,72.0,73.0,0.0,FLAT,0.0,5,False
KXATPCHALLENGERMATCH-26APR27MILTOK-MIL,ATP_CHALL_leader_55-59,leader,55,2026-04-26 11:44:09 PM ET,53,55,2,54.0,56.0,0.0,FLAT,0.0,5,False
KXWTACHALLENGERMATCH-26APR27MIKLAN-MIK,WTA_CHALL_underdog_40-44,underdog,43,2026-04-26 11:45:40 PM ET,43,44,1,43.5,43.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR27GALSWE-GAL,ATP_CHALL_leader_55-59,leader,57,2026-04-26 11:45:41 PM ET,57,58,1,57.5,57.5,0.0,FLAT,0.0,6,True
KXWTAMATCH-26APR27ANDBON-AND,WTA_MAIN_leader_80-84,leader,83,2026-04-26 11:54:38 PM ET,81,82,1,81.5,81.5,0.0,OSCILLATING,2.0,6,False
KXATPCHALLENGERMATCH-26APR27MASDEL-MAS,ATP_CHALL_leader_65-69,leader,69,2026-04-27 12:06:55 AM ET,69,70,1,69.5,70.0,-0.5,TRENDING_DOWN,0.5,6,False
KXATPCHALLENGERMATCH-26APR27BROGAK-BRO,ATP_CHALL_underdog_35-39,underdog,39,2026-04-27 12:36:15 AM ET,39,40,1,39.5,39.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR27BERERH-ERH,ATP_CHALL_leader_55-59,leader,55,2026-04-27 01:13:25 AM ET,55,56,1,55.5,55.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR27JORIAN-IAN,ATP_CHALL_underdog_35-39,underdog,38,2026-04-27 01:31:35 AM ET,37,38,1,37.5,37.5,0.0,TRENDING_UP,1.0,6,False
KXATPCHALLENGERMATCH-26APR27ARNCAS-ARN,ATP_CHALL_leader_85-89,leader,85,2026-04-27 01:36:32 AM ET,85,86,1,85.5,87.0,-1.0,TRENDING_DOWN,1.0,5,False
KXWTAMATCH-26APR27BENBAP-BAP,WTA_MAIN_underdog_25-29,underdog,31,2026-04-27 01:38:49 AM ET,31,32,1,31.5,31.5,0.0,FLAT,0.0,6,True
KXATPCHALLENGERMATCH-26APR27BOISIN-SIN,ATP_CHALL_leader_50-54,leader,51,2026-04-27 01:38:51 AM ET,51,52,1,51.5,51.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR27KIRFUK-FUK,ATP_CHALL_underdog_20-24,underdog,20,2026-04-27 02:13:37 AM ET,20,22,2,21.0,20.5,0.5,TRENDING_UP,0.5,6,False
KXATPCHALLENGERMATCH-26APR27PIEWIS-PIE,ATP_CHALL_leader_50-54,leader,52,2026-04-27 02:34:33 AM ET,52,53,1,52.5,52.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR27BRUKRA-BRU,ATP_CHALL_leader_70-74,leader,74,2026-04-27 04:10:58 AM ET,70,71,1,70.5,74.5,0.0,FLAT,0.0,4,False
KXATPCHALLENGERMATCH-26APR27CERMOL-MOL,ATP_CHALL_leader_55-59,leader,55,2026-04-27 04:59:05 AM ET,51,55,4,53.0,55.5,-2.5,TRENDING_DOWN,2.5,6,False
KXATPCHALLENGERMATCH-26APR27WEBMON-WEB,ATP_CHALL_underdog_10-14,underdog,12,2026-04-27 05:19:38 AM ET,11,13,2,12.0,12.0,0.0,OSCILLATING,0.5,6,False
KXWTAMATCH-26APR27POTRYB-RYB,WTA_MAIN_leader_85-89,leader,87,2026-04-27 05:32:43 AM ET,87,88,1,87.5,87.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR27CECMIC-MIC,ATP_CHALL_underdog_35-39,underdog,35,2026-04-27 07:13:02 AM ET,35,36,1,35.5,35.5,0.0,FLAT,0.0,5,False
KXATPCHALLENGERMATCH-26APR28SAKDAL-SAK,ATP_CHALL_leader_65-69,leader,64,2026-04-28 01:41:30 AM ET,63,65,2,64.0,64.0,1.0,TRENDING_UP,1.0,4,False
KXATPCHALLENGERMATCH-26APR28ORLPOL-POL,ATP_CHALL_leader_80-84,leader,80,2026-04-28 02:02:02 AM ET,79,80,1,79.5,81.0,0.5,TRENDING_UP,0.5,3,False
KXATPCHALLENGERMATCH-26APR28SAKSEG-SEG,ATP_CHALL_underdog_10-14,underdog,10,2026-04-28 02:02:45 AM ET,9,11,2,10.0,10.5,0.0,FLAT,0.0,3,False
KXATPCHALLENGERMATCH-26APR28BARPOT-BAR,ATP_CHALL_leader_55-59,leader,56,2026-04-28 02:03:59 AM ET,56,57,1,56.5,56.5,0.0,FLAT,0.0,4,False
KXATPCHALLENGERMATCH-26APR28SCHCHO-SCH,ATP_CHALL_leader_55-59,leader,57,2026-04-28 02:04:58 AM ET,57,59,2,58.0,58.0,0.0,FLAT,0.0,4,False
KXATPCHALLENGERMATCH-26APR28SAFCRE-CRE,ATP_CHALL_underdog_20-24,underdog,23,2026-04-28 02:05:23 AM ET,23,24,1,23.5,23.5,0.0,FLAT,0.0,4,False
KXATPCHALLENGERMATCH-26APR28OMAYEV-YEV,ATP_CHALL_leader_65-69,leader,65,2026-04-28 02:14:16 AM ET,63,65,2,64.0,64.0,0.0,FLAT,0.0,5,False
KXATPCHALLENGERMATCH-26APR28WALCUI-WAL,ATP_CHALL_leader_75-79,leader,78,2026-04-28 02:40:59 AM ET,78,79,1,78.5,78.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR28DONMEJ-MEJ,ATP_CHALL_leader_70-74,leader,74,2026-04-28 02:46:29 AM ET,73,74,1,73.5,74.5,0.0,FLAT,0.0,6,False
KXATPCHALLENGERMATCH-26APR28REHCUE-REH,ATP_CHALL_leader_65-69,leader,67,2026-04-28 02:46:31 AM ET,65,67,2,66.0,67.5,0.0,FLAT,0.0,6,False
