ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz,bid_depth_5,ask_depth_5
1783868611,2026-07-12 11:03:31 AM,21,85.0,24,5.0,33396.0,20827.0
1783868611,2026-07-12 11:03:31 AM,22,5.0,24,5.0,12793.0,20827.0
1783868611,2026-07-12 11:03:31 AM,23,5.0,24,5.0,12793.0,20737.0
1783868611,2026-07-12 11:03:31 AM,23,5.0,25,18.0,12818.0,43855.0
1783868611,2026-07-12 11:03:31 AM,23,5.0,25,23.0,12663.0,61860.0
1783868612,2026-07-12 11:03:32 AM,22,5.0,24,5.0,12793.0,21627.0
1783868612,2026-07-12 11:03:32 AM,22,10.0,24,5.0,12748.0,21627.0
1783868612,2026-07-12 11:03:32 AM,22,15.0,24,5.0,12710.0,21627.0
1783868612,2026-07-12 11:03:32 AM,22,27.0,24,10.0,12697.0,20885.0
1783868612,2026-07-12 11:03:32 AM,22,27.0,24,15.0,12565.0,4594.0
1783868612,2026-07-12 11:03:32 AM,22,32.0,24,10.0,12702.0,20885.0
1783868612,2026-07-12 11:03:32 AM,22,32.0,24,15.0,12720.0,7594.0
1783868612,2026-07-12 11:03:32 AM,22,37.0,24,5.0,12707.0,21252.0
1783868612,2026-07-12 11:03:32 AM,22,37.0,24,10.0,12707.0,20857.0
1783868613,2026-07-12 11:03:33 AM,22,27.0,24,1.0,12565.0,7580.0
1783868613,2026-07-12 11:03:33 AM,22,27.0,24,5.0,12715.0,7584.0
1783868613,2026-07-12 11:03:33 AM,22,27.0,24,10.0,12715.0,7589.0
1783868613,2026-07-12 11:03:33 AM,22,27.0,24,15.0,12715.0,7594.0
1783868613,2026-07-12 11:03:33 AM,22,27.0,24,20.0,12715.0,7599.0
1783868613,2026-07-12 11:03:33 AM,22,32.0,24,1.0,12717.0,7580.0
1783868613,2026-07-12 11:03:33 AM,22,32.0,24,6.0,12717.0,7585.0
1783868613,2026-07-12 11:03:33 AM,22,32.0,24,11.0,12717.0,7590.0
1783868613,2026-07-12 11:03:33 AM,22,32.0,24,20.0,12720.0,7599.0
1783868613,2026-07-12 11:03:33 AM,22,37.0,24,10.0,12722.0,7589.0
1783868613,2026-07-12 11:03:33 AM,22,37.0,24,11.0,12722.0,7590.0
1783868613,2026-07-12 11:03:33 AM,22,42.0,24,5.0,12727.0,7584.0
1783868613,2026-07-12 11:03:33 AM,22,42.0,24,10.0,12727.0,7589.0
1783868614,2026-07-12 11:03:34 AM,22,37.0,24,5.0,12722.0,7584.0
1783868614,2026-07-12 11:03:34 AM,23,5.0,24,5.0,219.0,7584.0
1783868614,2026-07-12 11:03:34 AM,23,10.0,24,5.0,247.0,7584.0
1783868614,2026-07-12 11:03:34 AM,23,10.0,25,3.0,247.0,32925.0
1783868614,2026-07-12 11:03:34 AM,23,15.0,25,3.0,247.0,32825.0
1783868614,2026-07-12 11:03:34 AM,23,20.0,25,3.0,302.0,33230.0
1783868614,2026-07-12 11:03:34 AM,24,5.0,25,3.0,93.0,30202.0
1783868614,2026-07-12 11:03:34 AM,24,5.0,25,53.0,103.0,30233.0
1783868614,2026-07-12 11:03:34 AM,24,10.0,25,3.0,98.0,30207.0
1783868614,2026-07-12 11:03:34 AM,25,5.0,25,3.0,98.0,30212.0
1783868614,2026-07-12 11:03:34 AM,25,10.0,25,3.0,12995.0,29702.0
1783868615,2026-07-12 11:03:35 AM,21,32.0,25,3.0,38398.0,32387.0
1783868615,2026-07-12 11:03:35 AM,21,60.0,25,3.0,38426.0,32387.0
1783868615,2026-07-12 11:03:35 AM,21,82.0,25,3.0,38448.0,30207.0
1783868615,2026-07-12 11:03:35 AM,21,103.0,25,3.0,38464.0,32300.0
1783868615,2026-07-12 11:03:35 AM,21,110.0,25,3.0,38471.0,32300.0
1783868615,2026-07-12 11:03:35 AM,22,5.0,25,3.0,12962.0,30212.0
1783868615,2026-07-12 11:03:35 AM,22,5.0,25,8.0,12981.0,32287.0
1783868615,2026-07-12 11:03:35 AM,22,10.0,24,5.0,12936.0,1997.0
1783868615,2026-07-12 11:03:35 AM,22,10.0,24,10.0,13034.0,2192.0
1783868615,2026-07-12 11:03:35 AM,22,10.0,25,3.0,12917.0,30212.0
1783868615,2026-07-12 11:03:35 AM,22,10.0,25,8.0,12936.0,33017.0
1783868615,2026-07-12 11:03:35 AM,22,15.0,24,5.0,13039.0,2387.0
1783868615,2026-07-12 11:03:35 AM,22,15.0,24,10.0,12889.0,2192.0
1783868615,2026-07-12 11:03:35 AM,22,15.0,25,3.0,13039.0,55528.0
1783868615,2026-07-12 11:03:35 AM,22,20.0,24,10.0,13044.0,2192.0
1783868615,2026-07-12 11:03:35 AM,22,20.0,25,3.0,13044.0,55528.0
1783868615,2026-07-12 11:03:35 AM,22,28.0,25,3.0,12958.0,32387.0
1783868615,2026-07-12 11:03:35 AM,23,5.0,25,3.0,247.0,30212.0
1783868615,2026-07-12 11:03:35 AM,23,10.0,25,3.0,130.0,30217.0
1783868615,2026-07-12 11:03:35 AM,24,5.0,25,3.0,103.0,27717.0
1783868615,2026-07-12 11:03:35 AM,24,10.0,25,3.0,98.0,32617.0
1783868615,2026-07-12 11:03:35 AM,25,5.0,25,3.0,12990.0,30207.0
1783868615,2026-07-12 11:03:35 AM,25,10.0,25,3.0,12995.0,29702.0
1783868615,2026-07-12 11:03:35 AM,25,15.0,25,3.0,13000.0,29702.0
1783868616,2026-07-12 11:03:36 AM,24,5.0,25,3.0,121.0,56543.0
1783868616,2026-07-12 11:03:36 AM,24,10.0,25,3.0,293.0,56543.0
1783868616,2026-07-12 11:03:36 AM,24,15.0,25,3.0,298.0,56543.0
1783868616,2026-07-12 11:03:36 AM,25,5.0,25,3.0,166.0,56538.0
1783868619,2026-07-12 11:03:39 AM,21,103.0,25,3.0,38120.0,56528.0
1783868619,2026-07-12 11:03:39 AM,22,7.0,25,3.0,12874.0,56528.0
1783868619,2026-07-12 11:03:39 AM,23,5.0,25,3.0,12672.0,56528.0
1783868619,2026-07-12 11:03:39 AM,23,10.0,25,3.0,13027.0,56578.0
1783868619,2026-07-12 11:03:39 AM,23,15.0,25,3.0,13032.0,56578.0
1783868619,2026-07-12 11:03:39 AM,23,20.0,25,3.0,13037.0,56593.0
1783868620,2026-07-12 11:03:40 AM,25,400.0,25,3.0,1018.0,56528.0
1783868620,2026-07-12 11:03:40 AM,26,400.0,25,3.0,1290.0,53928.0
1783868620,2026-07-12 11:03:40 AM,26,405.0,25,3.0,1290.0,54178.0
1783868620,2026-07-12 11:03:40 AM,26,410.0,25,3.0,1290.0,53878.0
1783868620,2026-07-12 11:03:40 AM,26,415.0,25,3.0,1295.0,53878.0
1783868620,2026-07-12 11:03:40 AM,26,420.0,25,3.0,1379.0,53878.0
1783868621,2026-07-12 11:03:41 AM,26,415.0,25,3.0,1374.0,53878.0
1783868621,2026-07-12 11:03:41 AM,26,515.0,25,3.0,1474.0,54897.0
1783868621,2026-07-12 11:03:41 AM,26,520.0,25,3.0,1679.0,53067.0
1783868622,2026-07-12 11:03:42 AM,26,515.0,25,3.0,1674.0,56100.0
1783868622,2026-07-12 11:03:42 AM,26,538.0,25,3.0,24146.0,56100.0
1783868622,2026-07-12 11:03:42 AM,27,16208.0,25,3.0,20068.0,57619.0
1783868622,2026-07-12 11:03:42 AM,27,16308.0,25,3.0,20168.0,57619.0
1783868622,2026-07-12 11:03:42 AM,27,23431.0,25,3.0,27291.0,57619.0
1783868622,2026-07-12 11:03:42 AM,27,28431.0,25,3.0,32286.0,55762.0
1783868622,2026-07-12 11:03:42 AM,27,28436.0,25,3.0,32286.0,55762.0
1783868622,2026-07-12 11:03:42 AM,27,28441.0,25,3.0,32286.0,55757.0
1783868622,2026-07-12 11:03:42 AM,27,42491.0,25,3.0,46336.0,90380.0
1783868622,2026-07-12 11:03:42 AM,27,42496.0,25,3.0,45947.0,90380.0
1783868622,2026-07-12 11:03:42 AM,27,42541.0,25,3.0,58004.0,81280.0
1783868622,2026-07-12 11:03:42 AM,27,43741.0,25,3.0,59204.0,81280.0
1783868622,2026-07-12 11:03:42 AM,27,46741.0,25,3.0,64604.0,81280.0
1783868622,2026-07-12 11:03:42 AM,27,49741.0,25,3.0,67604.0,81280.0
1783868622,2026-07-12 11:03:42 AM,27,49841.0,25,3.0,70704.0,81280.0
1783868623,2026-07-12 11:03:43 AM,27,53319.0,25,3.0,73788.0,81380.0
1783868623,2026-07-12 11:03:43 AM,28,5.0,25,3.0,79846.0,81380.0
1783868623,2026-07-12 11:03:43 AM,28,28.0,25,3.0,74869.0,81380.0
1783868623,2026-07-12 11:03:43 AM,28,7005.0,25,3.0,81746.0,81380.0
1783868623,2026-07-12 11:03:43 AM,28,7105.0,25,3.0,80646.0,81380.0
1783868623,2026-07-12 11:03:43 AM,28,8305.0,25,3.0,81836.0,81375.0
1783868623,2026-07-12 11:03:43 AM,28,8310.0,25,3.0,81641.0,81175.0
1783868624,2026-07-12 11:03:44 AM,28,7115.0,25,3.0,91746.0,73299.0
1783868624,2026-07-12 11:03:44 AM,28,8310.0,25,3.0,81791.0,54780.0
1783868624,2026-07-12 11:03:44 AM,28,8315.0,25,3.0,91896.0,58880.0
1783868625,2026-07-12 11:03:45 AM,28,7115.0,25,3.0,99054.0,66957.0
1783868627,2026-07-12 11:03:47 AM,28,21165.0,25,3.0,107604.0,117518.0
1783868633,2026-07-12 11:03:53 AM,28,21030.0,25,3.0,107469.0,116857.0
1783868633,2026-07-12 11:03:53 AM,28,21035.0,25,3.0,107474.0,116857.0
1783868633,2026-07-12 11:03:53 AM,28,21137.0,25,3.0,107576.0,116857.0
1783868633,2026-07-12 11:03:53 AM,28,21160.0,25,3.0,107599.0,116857.0
1783868633,2026-07-12 11:03:53 AM,28,21165.0,25,3.0,107604.0,116857.0
1783868634,2026-07-12 11:03:54 AM,28,21035.0,25,3.0,107474.0,116486.0
1783868635,2026-07-12 11:03:55 AM,28,21007.0,25,3.0,107446.0,110991.0
1783868635,2026-07-12 11:03:55 AM,28,21035.0,25,3.0,107474.0,110038.0
1783868635,2026-07-12 11:03:55 AM,28,21040.0,25,3.0,107479.0,110038.0
