cell,trigger,combo,is_active,total,scalp_pre,dca_fires,dca_wins,dca_knife,no_opp,fire_rate_pct,win_rate_pct,dca_ev_per_fire_c,cell_roi_delta_pct
WTA_MAIN_leader_70-74,10,A,True,329,8,25,11,14,296,7.6,44.0,-388.6,-4.10
WTA_MAIN_leader_70-74,10,B,True,329,8,25,14,11,296,7.6,56.0,-239.0,-2.52
WTA_MAIN_leader_70-74,15,A,True,329,8,22,11,11,299,6.7,50.0,-274.1,-2.55
WTA_MAIN_leader_70-74,15,B,True,329,8,22,13,9,299,6.7,59.1,-183.4,-1.70
WTA_MAIN_leader_70-74,20,A,True,329,10,20,9,11,299,6.1,45.0,-321.5,-2.71
WTA_MAIN_leader_70-74,20,B,True,329,10,20,11,9,299,6.1,55.0,-228.0,-1.93
WTA_MAIN_leader_70-74,25,A,True,329,11,19,8,11,299,5.8,42.1,-338.4,-2.71
WTA_MAIN_leader_70-74,25,B,True,329,11,19,10,9,299,5.8,52.6,-247.9,-1.99
WTA_MAIN_leader_80-84,3,A,True,219,1,13,4,9,205,5.9,30.8,-766.2,-5.55
WTA_MAIN_leader_80-84,3,B,True,219,1,13,6,7,205,5.9,46.2,-544.6,-3.94
WTA_MAIN_leader_80-84,5,A,True,219,1,12,4,8,206,5.5,33.3,-717.5,-4.79
WTA_MAIN_leader_80-84,5,B,True,219,1,12,9,3,206,5.5,75.0,-113.8,-0.76
WTA_MAIN_leader_80-84,7,A,True,219,1,12,4,8,206,5.5,33.3,-707.5,-4.73
WTA_MAIN_leader_80-84,7,B,True,219,1,12,9,3,206,5.5,75.0,-111.2,-0.74
WTA_MAIN_leader_80-84,10,A,True,219,1,11,4,7,207,5.0,36.4,-646.8,-3.96
WTA_MAIN_leader_80-84,10,B,True,219,1,11,10,1,207,5.0,90.9,125.9,0.77
WTA_MAIN_leader_80-84,15,A,True,219,2,9,3,6,208,4.1,33.3,-668.3,-3.35
WTA_MAIN_leader_80-84,15,B,True,219,2,9,8,1,208,4.1,88.9,100.0,0.50
WTA_MAIN_leader_80-84,20,A,True,219,2,8,3,5,209,3.7,37.5,-580.6,-2.59
WTA_MAIN_leader_80-84,20,B,True,219,2,8,7,1,209,3.7,87.5,83.7,0.37
WTA_MAIN_leader_80-84,25,A,True,219,2,8,3,5,209,3.7,37.5,-555.6,-2.48
WTA_MAIN_leader_80-84,25,B,True,219,2,8,7,1,209,3.7,87.5,86.9,0.39
WTA_MAIN_leader_85-89,3,A,True,276,1,15,1,14,260,5.4,6.7,-1181.0,-7.38
WTA_MAIN_leader_85-89,3,B,True,276,1,15,5,10,260,5.4,33.3,-790.0,-4.94
WTA_MAIN_leader_85-89,5,A,True,276,1,15,1,14,260,5.4,6.7,-1171.0,-7.32
WTA_MAIN_leader_85-89,5,B,True,276,1,15,8,7,260,5.4,53.3,-488.3,-3.05
WTA_MAIN_leader_85-89,7,A,True,276,1,12,1,11,263,4.3,8.3,-1136.2,-5.68
WTA_MAIN_leader_85-89,7,B,True,276,1,12,6,6,263,4.3,50.0,-532.5,-2.66
WTA_MAIN_leader_85-89,10,A,True,276,1,9,1,8,266,3.3,11.1,-1080.0,-4.05
WTA_MAIN_leader_85-89,10,B,True,276,1,9,5,4,266,3.3,55.6,-441.1,-1.65
WTA_MAIN_leader_85-89,15,A,True,276,1,7,1,6,268,2.5,14.3,-1007.1,-2.94
WTA_MAIN_leader_85-89,15,B,True,276,1,7,5,2,268,2.5,71.4,-195.0,-0.57
WTA_MAIN_leader_85-89,20,A,True,276,2,5,0,5,269,1.8,0.0,-1190.0,-2.48
WTA_MAIN_leader_85-89,20,B,True,276,2,5,3,2,269,1.8,60.0,-347.0,-0.72
WTA_MAIN_leader_85-89,25,A,True,276,2,5,0,5,269,1.8,0.0,-1165.0,-2.43
WTA_MAIN_leader_85-89,25,B,True,276,2,5,3,2,269,1.8,60.0,-337.0,-0.70
