ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1784468168,2026-07-19 09:36:08 AM,38,100,41,100
1784468168,2026-07-19 09:36:08 AM,38,100,41,141
1784468168,2026-07-19 09:36:08 AM,38,100,41,205
1784468233,2026-07-19 09:37:13 AM,38,100,41,100
1784468243,2026-07-19 09:37:23 AM,37,26,41,100
1784468247,2026-07-19 09:37:27 AM,37,26,42,1082
1784468247,2026-07-19 09:37:27 AM,37,26,42,1582
1784468256,2026-07-19 09:37:36 AM,37,19,42,1582
1784468271,2026-07-19 09:37:51 AM,38,100,42,1582
1784468271,2026-07-19 09:37:51 AM,38,100,42,1583
1784468290,2026-07-19 09:38:10 AM,38,100,41,100
1784468310,2026-07-19 09:38:30 AM,37,19,42,1582
1784468324,2026-07-19 09:38:44 AM,38,100,42,1582
1784468326,2026-07-19 09:38:46 AM,38,100,42,1583
1784468347,2026-07-19 09:39:07 AM,38,100,41,100
1784468389,2026-07-19 09:39:49 AM,38,110,41,100
1784468389,2026-07-19 09:39:49 AM,38,110,41,110
1784468419,2026-07-19 09:40:19 AM,38,10,41,110
1784468423,2026-07-19 09:40:23 AM,38,10,41,10
1784468443,2026-07-19 09:40:43 AM,38,110,41,10
1784468459,2026-07-19 09:40:59 AM,38,110,41,110
1784468479,2026-07-19 09:41:19 AM,38,10,41,110
1784468482,2026-07-19 09:41:22 AM,38,10,41,10
1784468504,2026-07-19 09:41:44 AM,38,110,41,10
1784468518,2026-07-19 09:41:58 AM,38,110,41,110
1784468539,2026-07-19 09:42:19 AM,38,10,41,110
1784468541,2026-07-19 09:42:21 AM,37,20,41,100
1784468541,2026-07-19 09:42:21 AM,37,20,41,110
1784468542,2026-07-19 09:42:22 AM,37,20,42,1558
1784468542,2026-07-19 09:42:22 AM,37,20,42,2058
1784468551,2026-07-19 09:42:31 AM,37,19,42,2058
1784468562,2026-07-19 09:42:42 AM,38,100,42,2058
1784468564,2026-07-19 09:42:44 AM,38,100,42,2068
1784468578,2026-07-19 09:42:58 AM,38,100,41,100
1784468599,2026-07-19 09:43:19 AM,37,23,41,100
1784468602,2026-07-19 09:43:22 AM,37,23,42,1568
1784468602,2026-07-19 09:43:22 AM,37,23,42,2068
1784468604,2026-07-19 09:43:24 AM,37,19,42,2058
1784468604,2026-07-19 09:43:24 AM,37,19,42,2068
1784468625,2026-07-19 09:43:45 AM,38,100,42,2068
1784468637,2026-07-19 09:43:57 AM,38,100,41,100
1784468661,2026-07-19 09:44:21 AM,37,22,41,100
1784468663,2026-07-19 09:44:23 AM,37,22,42,1568
1784468663,2026-07-19 09:44:23 AM,37,22,42,2068
1784468680,2026-07-19 09:44:40 AM,38,100,42,2068
1784468694,2026-07-19 09:44:54 AM,38,110,42,2068
1784468694,2026-07-19 09:44:54 AM,38,110,42,2078
1784468696,2026-07-19 09:44:56 AM,38,110,41,100
1784468697,2026-07-19 09:44:57 AM,38,110,41,110
1784468728,2026-07-19 09:45:28 AM,38,10,41,110
1784468731,2026-07-19 09:45:31 AM,38,10,41,10
1784468747,2026-07-19 09:45:47 AM,38,110,41,10
1784468757,2026-07-19 09:45:57 AM,38,110,41,110
1784468781,2026-07-19 09:46:21 AM,38,10,41,110
1784468788,2026-07-19 09:46:28 AM,38,10,41,10
1784468808,2026-07-19 09:46:48 AM,38,110,41,10
1784468817,2026-07-19 09:46:57 AM,38,110,41,110
1784468844,2026-07-19 09:47:24 AM,38,10,41,110
1784468850,2026-07-19 09:47:30 AM,38,10,41,10
1784468867,2026-07-19 09:47:47 AM,38,110,41,10
1784468870,2026-07-19 09:47:50 AM,38,110,42,1558
1784468870,2026-07-19 09:47:50 AM,38,110,42,2058
1784468877,2026-07-19 09:47:57 AM,38,110,41,100
1784468901,2026-07-19 09:48:21 AM,38,100,41,100
1784468902,2026-07-19 09:48:22 AM,37,22,41,100
1784468904,2026-07-19 09:48:24 AM,37,22,42,1558
1784468904,2026-07-19 09:48:24 AM,37,22,42,2058
1784468919,2026-07-19 09:48:39 AM,37,22,42,2060
1784468924,2026-07-19 09:48:44 AM,38,100,42,2060
1784468936,2026-07-19 09:48:56 AM,38,100,41,100
1784468961,2026-07-19 09:49:21 AM,37,22,41,100
1784468965,2026-07-19 09:49:25 AM,37,22,42,1560
1784468965,2026-07-19 09:49:25 AM,37,22,42,2060
1784468966,2026-07-19 09:49:26 AM,37,19,42,2058
