ticker,cell,type,entry_price,exit_price,result,pnl_cents,pnl_dollars,ts
KXATPMATCH-26APR22HANGIR-GIR,?,settlement,29,1,LOSS,-280,-2.8,2026-04-23 07:32:44 AM ET
KXATPCHALLENGERMATCH-26APR23SKAOST-SKA,?,settlement,84,99,WIN,150,1.5,2026-04-23 07:43:46 AM ET
KXATPCHALLENGERMATCH-26APR23DJEVAV-DJE,?,settlement,57,1,LOSS,-560,-5.6,2026-04-23 07:58:20 AM ET
KXATPCHALLENGERMATCH-26APR23DJEVAV-VAV,?,settlement,41,99,WIN,1160,11.6,2026-04-23 07:58:20 AM ET
KXATPMATCH-26APR22MUNSHE-SHE,?,settlement,40,1,LOSS,-390,-3.9,2026-04-23 08:03:25 AM ET
KXATPCHALLENGERMATCH-26APR23FOMWIS-FOM,?,settlement,59,99,WIN,360,3.6,2026-04-23 08:07:00 AM ET
KXATPMATCH-26APR22MARQUI-QUI,?,settlement,44,1,LOSS,-430,-4.3,2026-04-23 08:36:35 AM ET
KXATPCHALLENGERMATCH-26APR22SVRBER-SVR,?,settlement,74,99,WIN,250,2.5,2026-04-23 08:52:06 AM ET
KXATPCHALLENGERMATCH-26APR22SVRBER-BER,?,settlement,25,1,LOSS,-240,-2.4,2026-04-23 08:52:06 AM ET
KXATPMATCH-26APR22BORNAV-BOR,?,settlement,28,1,LOSS,-405,-4.05,2026-04-23 09:10:24 AM ET
KXATPMATCH-26APR22POPDAM-POP,?,settlement,69,1,LOSS,-680,-6.8,2026-04-23 09:37:53 AM ET
KXATPCHALLENGERMATCH-26APR23GUEFER-FER,?,settlement,55,1,LOSS,-1080,-10.8,2026-04-23 09:58:32 AM ET
KXATPCHALLENGERMATCH-26APR23GUEFER-GUE,?,settlement,43,99,WIN,560,5.6,2026-04-23 09:58:32 AM ET
KXATPMATCH-26APR22GAUBAE-BAE,?,settlement,102,1,LOSS,-202,-2.02,2026-04-23 10:48:41 AM ET
KXATPCHALLENGERMATCH-26APR24SVRCRE-SVR,?,settlement,73,99,WIN,260,2.6,2026-04-24 06:30:30 AM ET
KXATPCHALLENGERMATCH-26APR24SVRCRE-CRE,?,settlement,27,1,LOSS,-260,-2.6,2026-04-24 06:31:42 AM ET
KXWTAMATCH-26APR24PLISAK-PLI,?,settlement,44,99,WIN,550,5.5,2026-04-24 06:39:46 AM ET
KXWTAMATCH-26APR24ZHEKEN-KEN,?,settlement,21,1,LOSS,-200,-2.0,2026-04-24 07:01:40 AM ET
KXATPCHALLENGERMATCH-26APR24VASSAK-SAK,?,settlement,66,1,LOSS,-390,-3.9,2026-04-24 07:14:20 AM ET
KXATPCHALLENGERMATCH-26APR24VASSAK-VAS,?,settlement,43,99,WIN,560,5.6,2026-04-24 07:14:27 AM ET
KXATPMATCH-26APR24LAJRIN-LAJ,?,settlement,30,1,LOSS,-435,-4.35,2026-04-24 07:30:52 AM ET
KXATPMATCH-26APR24NAVVAC-NAV,?,settlement,26,99,WIN,730,7.3,2026-04-24 08:09:41 AM ET
KXATPMATCH-26APR24NAVVAC-VAC,?,settlement,74,1,LOSS,-730,-7.3,2026-04-24 08:09:41 AM ET
KXATPCHALLENGERMATCH-26APR24JIAGUE-JIA,?,settlement,57,1,LOSS,-560,-5.6,2026-04-24 08:39:49 AM ET
KXATPCHALLENGERMATCH-26APR24JIAGUE-GUE,?,settlement,42,99,WIN,1140,11.4,2026-04-24 08:39:56 AM ET
KXWTAMATCH-26APR23SONBUC-BUC,?,settlement,38,1,LOSS,-370,-3.7,2026-04-24 08:46:11 AM ET
KXWTAMATCH-26APR23SONBUC-SON,?,settlement,62,99,WIN,370,3.7,2026-04-24 08:46:11 AM ET
KXATPCHALLENGERMATCH-26APR24VAVMAR-MAR,?,settlement,89,99,WIN,100,1.0,2026-04-24 12:36:31 PM ET
KXWTACHALLENGERMATCH-26APR24PRIFER-FER,?,settlement,41,99,WIN,1740,17.4,2026-04-24 01:01:07 PM ET
KXATPCHALLENGERMATCH-26APR24HARKEN-HAR,?,settlement,17,1,LOSS,-160,-1.6,2026-04-24 02:26:54 PM ET
KXWTAMATCH-26APR24MCCMBO-MBO,?,settlement,73,1,LOSS,-720,-7.2,2026-04-24 02:32:32 PM ET
KXATPCHALLENGERMATCH-26APR24BAXHEM-BAX,ATP_CHALL_underdog_35-39,settlement,38,1,LOSS,-370,-3.7,2026-04-24 03:06:20 PM ET
KXWTAMATCH-26APR24PEGBOU-BOU,?,settlement,15,1,LOSS,-140,-1.4,2026-04-24 05:11:15 PM ET
KXATPCHALLENGERMATCH-26APR24KWONHSU-HSU,ATP_CHALL_underdog_25-29,settlement,28,1,LOSS,-270,-2.7,2026-04-24 11:21:33 PM ET
KXWTAMATCH-26APR25BENSHN-SHN,WTA_MAIN_underdog_35-39,settlement,38,1,LOSS,-370,-3.7,2026-04-25 06:01:38 AM ET
KXATPMATCH-26APR24DAVCAR-CAR,ATP_MAIN_underdog_35-39,settlement,35,1,LOSS,-340,-3.4,2026-04-25 06:09:09 AM ET
KXATPMATCH-26APR25KHAWAL-WAL,?,settlement,21,1,LOSS,-200,-2.0,2026-04-25 06:19:51 AM ET
KXATPMATCH-26APR24CERHAN-HAN,ATP_MAIN_underdog_30-34,settlement,28,1,LOSS,-270,-2.7,2026-04-25 06:32:51 AM ET
KXATPMATCH-26APR24DAMMEN-DAM,?,settlement,26,1,LOSS,-250,-2.5,2026-04-25 08:01:40 AM ET
KXATPMATCH-26APR24MUNRUU-MUN,ATP_MAIN_underdog_30-34,settlement,30,1,LOSS,-290,-2.9,2026-04-25 08:16:21 AM ET
KXATPMATCH-26APR24GAUAUG-GAU,ATP_MAIN_underdog_20-24,settlement,22,1,LOSS,-210,-2.1,2026-04-25 10:39:07 AM ET
KXATPCHALLENGERMATCH-26APR26ILACHE-CHE,ATP_CHALL_underdog_10-14,settlement,10,1,LOSS,-90,-0.9,2026-04-26 12:26:34 AM ET
KXATPCHALLENGERMATCH-26APR26ILACHE-ILA,ATP_CHALL_leader_85-89,settlement,91,99,WIN,80,0.8,2026-04-26 12:26:42 AM ET
KXATPCHALLENGERMATCH-26APR26KUSDEL-KUS,ATP_CHALL_underdog_25-29,settlement,29,1,LOSS,-280,-2.8,2026-04-26 02:24:44 AM ET
KXATPCHALLENGERMATCH-26APR26SHIKLO-SHI,ATP_CHALL_underdog_30-34,settlement,31,1,LOSS,-300,-3.0,2026-04-26 02:42:54 AM ET
KXATPCHALLENGERMATCH-26APR26SHAJON-JON,ATP_CHALL_underdog_10-14,settlement,10,1,LOSS,-90,-0.9,2026-04-26 03:50:23 AM ET
KXWTACHALLENGERMATCH-26APR26HUAYUA-HUA,WTA_CHALL_leader_50-54,settlement,54,1,LOSS,-530,-5.3,2026-04-26 04:41:17 AM ET
KXATPCHALLENGERMATCH-26APR26GULWEH-WEH,ATP_CHALL_underdog_20-24,settlement,21,1,LOSS,-200,-2.0,2026-04-26 04:42:36 AM ET
KXWTACHALLENGERMATCH-26APR26ALVFAL-ALV,WTA_CHALL_leader_60-64,settlement,62,1,LOSS,-610,-6.1,2026-04-26 05:25:18 AM ET
