ticker,fill_price,first_price,bias,cell_actual,cell_at_fill,cell_by_first_price,cell_mismatch,outcome,exit_price,pnl_cents,pnl_dollars,direction,ts
KXWTAMATCH-26APR25ZHERYB-ZHE,21,0,,WTA_MAIN_underdog_20-24,WTA_MAIN_underdog_20-24,,,scalp,43,220,22.00,underdog,2026-04-26 10:41:00 AM ET
KXATPCHALLENGERMATCH-26APR26KENBAS-KEN,32,0,,ATP_CHALL_underdog_30-34,ATP_CHALL_underdog_30-34,,,scalp,47,150,15.00,underdog,2026-04-26 11:21:34 AM ET
KXATPCHALLENGERMATCH-26APR26KENBAS-BAS,70,0,,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,,,scalp,77,70,7.00,leader,2026-04-26 11:22:38 AM ET
KXATPCHALLENGERMATCH-26APR26NEUFON-NEU,79,0,,ATP_CHALL_leader_75-79,ATP_CHALL_leader_80-84,,,settle_loss,1,-780,-78.00,leader,2026-04-26 11:40:19 AM ET
KXATPCHALLENGERMATCH-26APR26ONCSTE-ONC,73,0,,ATP_CHALL_leader_70-74,ATP_CHALL_leader_75-79,,,scalp,92,190,19.00,leader,2026-04-26 12:22:28 PM ET
KXATPCHALLENGERMATCH-26APR26BUSSUA-BUS,20,0,,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,,,settle_loss,1,-190,-19.00,underdog,2026-04-26 12:23:09 PM ET
KXWTAMATCH-26APR27SIEPLI-PLI,63,0,,WTA_MAIN_leader_60-64,WTA_MAIN_leader_60-64,,,scalp,71,80,8.00,leader,2026-04-26 01:03:58 PM ET
KXATPCHALLENGERMATCH-26APR26KUHSAN-SAN,24,0,,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,,,scalp,39,150,15.00,underdog,2026-04-26 03:31:26 PM ET
KXATPCHALLENGERMATCH-26APR26ILAPEA-PEA,14,0,,ATP_CHALL_underdog_10-14,ATP_CHALL_underdog_10-14,,,settle_loss,1,-130,-13.00,underdog,2026-04-26 07:44:27 PM ET
KXWTAMATCH-26APR27BENBAP-BEN,70,0,,WTA_MAIN_leader_70-74,WTA_MAIN_leader_70-74,,,unknown,0,0,0.00,leader,2026-04-26 08:07:34 PM ET
KXATPCHALLENGERMATCH-26APR26ILAPEA-ILA,84,0,,ATP_CHALL_leader_80-84,ATP_CHALL_leader_80-84,,,scalp,98,140,14.00,leader,2026-04-26 08:53:26 PM ET
KXATPCHALLENGERMATCH-26APR27MOCCAM-MOC,22,0,,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,,,scalp,37,150,15.00,underdog,2026-04-26 09:28:30 PM ET
KXATPCHALLENGERMATCH-26APR27ORLVIT-VIT,22,0,,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,,,settle_loss,1,-210,-21.00,underdog,2026-04-26 09:28:31 PM ET
KXATPCHALLENGERMATCH-26APR26SHAMOR-MOR,22,0,,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,,,scalp,37,135,13.50,underdog,2026-04-26 09:41:49 PM ET
KXATPCHALLENGERMATCH-26APR27GALSWE-SWE,43,0,,ATP_CHALL_underdog_40-44,ATP_CHALL_underdog_40-44,,,scalp,73,300,30.00,underdog,2026-04-26 11:19:18 PM ET
KXATPCHALLENGERMATCH-26APR27MATJAS-JAS,40,0,,ATP_CHALL_underdog_40-44,ATP_CHALL_underdog_40-44,,,settle_loss,1,-390,-39.00,underdog,2026-04-26 11:43:20 PM ET
KXATPCHALLENGERMATCH-26APR27LAJSAN-LAJ,72,0,,ATP_CHALL_leader_70-74,ATP_CHALL_leader_70-74,,,scalp,97,250,25.00,leader,2026-04-26 11:44:07 PM ET
KXATPCHALLENGERMATCH-26APR27MILTOK-MIL,55,0,,ATP_CHALL_leader_55-59,ATP_CHALL_leader_55-59,,,scalp,75,200,20.00,leader,2026-04-26 11:44:09 PM ET
KXWTACHALLENGERMATCH-26APR27MIKLAN-MIK,43,0,,WTA_CHALL_underdog_40-44,WTA_CHALL_underdog_40-44,,,settle_loss,1,-420,-42.00,underdog,2026-04-26 11:45:40 PM ET
