ts_epoch,ts_et,bid_1,bid_1_sz,ask_1,ask_1_sz
1783926844,2026-07-13 03:14:04 AM,22,5906,23,522
1783926844,2026-07-13 03:14:04 AM,22,5928,23,522
1783926849,2026-07-13 03:14:09 AM,22,7481,23,522
1783926849,2026-07-13 03:14:09 AM,22,7503,23,522
1783926972,2026-07-13 03:16:12 AM,22,5906,23,522
1783926972,2026-07-13 03:16:12 AM,22,5928,23,522
1783926976,2026-07-13 03:16:16 AM,22,7481,23,522
1783926976,2026-07-13 03:16:16 AM,22,7503,23,522
1783927097,2026-07-13 03:18:17 AM,22,5906,23,522
1783927097,2026-07-13 03:18:17 AM,22,5928,23,522
1783927101,2026-07-13 03:18:21 AM,22,7480,23,522
1783927101,2026-07-13 03:18:21 AM,22,7502,23,522
1783927107,2026-07-13 03:18:27 AM,22,7480,23,522
1783927107,2026-07-13 03:18:27 AM,22,7502,23,522
1783927108,2026-07-13 03:18:28 AM,22,7480,23,522
1783927135,2026-07-13 03:18:55 AM,22,4981,23,522
1783927135,2026-07-13 03:18:55 AM,22,7480,23,522
1783927136,2026-07-13 03:18:56 AM,22,4981,23,522
1783927228,2026-07-13 03:20:28 AM,22,2607,23,522
1783927228,2026-07-13 03:20:28 AM,22,3407,23,522
1783927231,2026-07-13 03:20:31 AM,22,2607,23,522
1783927233,2026-07-13 03:20:33 AM,22,4190,23,522
1783927233,2026-07-13 03:20:33 AM,22,4990,23,522
1783927246,2026-07-13 03:20:46 AM,22,7491,23,522
1783927327,2026-07-13 03:22:07 AM,22,7490,23,522
1783927353,2026-07-13 03:22:33 AM,22,5907,23,522
1783927358,2026-07-13 03:22:38 AM,22,7490,23,522
1783927481,2026-07-13 03:24:41 AM,22,5907,23,522
1783927485,2026-07-13 03:24:45 AM,22,7481,23,522
1783927611,2026-07-13 03:26:51 AM,22,5907,23,522
1783927615,2026-07-13 03:26:55 AM,22,7481,23,522
1783927738,2026-07-13 03:28:58 AM,22,5907,23,522
1783927742,2026-07-13 03:29:02 AM,22,7481,23,522
1783927768,2026-07-13 03:29:28 AM,22,5997,23,522
1783927768,2026-07-13 03:29:28 AM,22,7481,23,522
1783927814,2026-07-13 03:30:14 AM,22,6425,23,522
1783927860,2026-07-13 03:31:00 AM,22,6430,23,522
1783927863,2026-07-13 03:31:03 AM,22,4856,23,522
1783927867,2026-07-13 03:31:07 AM,22,6430,23,522
1783927987,2026-07-13 03:33:07 AM,22,4856,23,522
1783927991,2026-07-13 03:33:11 AM,22,6430,23,522
1783928113,2026-07-13 03:35:13 AM,22,4856,23,522
1783928132,2026-07-13 03:35:32 AM,22,6438,23,522
1783928255,2026-07-13 03:37:35 AM,22,4856,23,522
1783928261,2026-07-13 03:37:41 AM,22,6438,23,522
1783928382,2026-07-13 03:39:42 AM,22,4856,23,522
1783928386,2026-07-13 03:39:46 AM,22,6429,23,522
1783928508,2026-07-13 03:41:48 AM,22,4856,23,522
1783928513,2026-07-13 03:41:53 AM,22,6430,23,522
1783928638,2026-07-13 03:43:58 AM,22,4856,23,522
1783928643,2026-07-13 03:44:03 AM,22,6429,23,522
1783928738,2026-07-13 03:45:38 AM,22,8445,23,520
1783928739,2026-07-13 03:45:39 AM,22,8445,23,521
1783928763,2026-07-13 03:46:03 AM,22,6872,23,521
1783928767,2026-07-13 03:46:07 AM,22,8446,23,521
1783928837,2026-07-13 03:47:17 AM,22,6697,23,521
1783928837,2026-07-13 03:47:17 AM,22,8446,23,521
1783928839,2026-07-13 03:47:19 AM,22,6697,23,521
1783928889,2026-07-13 03:48:09 AM,22,5123,23,521
1783928894,2026-07-13 03:48:14 AM,22,6697,23,521
1783929020,2026-07-13 03:50:20 AM,22,5123,23,521
1783929030,2026-07-13 03:50:30 AM,22,6705,23,521
1783929154,2026-07-13 03:52:34 AM,22,5123,23,521
1783929154,2026-07-13 03:52:34 AM,22,6705,23,521
1783929228,2026-07-13 03:53:48 AM,22,6688,23,521
1783929252,2026-07-13 03:54:12 AM,22,6705,23,521
1783929265,2026-07-13 03:54:25 AM,22,6688,23,521
1783929290,2026-07-13 03:54:50 AM,22,4306,23,521
1783929290,2026-07-13 03:54:50 AM,22,5106,23,521
1783929294,2026-07-13 03:54:54 AM,22,5888,23,521
1783929294,2026-07-13 03:54:54 AM,22,6688,23,521
1783929303,2026-07-13 03:55:03 AM,22,6705,23,521
1783929321,2026-07-13 03:55:21 AM,22,4621,23,521
1783929321,2026-07-13 03:55:21 AM,22,5421,23,521
1783929321,2026-07-13 03:55:21 AM,22,5688,23,521
1783929321,2026-07-13 03:55:21 AM,22,6705,23,521
1783929323,2026-07-13 03:55:23 AM,22,4621,23,521
1783929323,2026-07-13 03:55:23 AM,22,5421,23,521
1783929345,2026-07-13 03:55:45 AM,22,5421,23,520
1783929384,2026-07-13 03:56:24 AM,22,6705,23,520
1783929417,2026-07-13 03:56:57 AM,22,5123,23,520
1783929423,2026-07-13 03:57:03 AM,22,6705,23,520
1783929543,2026-07-13 03:59:03 AM,22,5123,23,520
1783929548,2026-07-13 03:59:08 AM,22,6706,23,520
1783929618,2026-07-13 04:00:18 AM,22,7365,23,520
1783929668,2026-07-13 04:01:08 AM,22,5782,23,520
1783929673,2026-07-13 04:01:13 AM,22,7365,23,520
1783929796,2026-07-13 04:03:16 AM,22,5782,23,520
1783929801,2026-07-13 04:03:21 AM,22,7365,23,520
1783929922,2026-07-13 04:05:22 AM,22,5782,23,1411
1783929922,2026-07-13 04:05:22 AM,22,5782,23,520
1783929925,2026-07-13 04:05:25 AM,22,7365,23,1411
1783930050,2026-07-13 04:07:30 AM,22,5782,23,1411
1783930055,2026-07-13 04:07:35 AM,22,7365,23,1411
1783930177,2026-07-13 04:09:37 AM,22,5782,23,1411
1783930183,2026-07-13 04:09:43 AM,22,7364,23,1411
1783930305,2026-07-13 04:11:45 AM,22,5782,23,1411
1783930320,2026-07-13 04:12:00 AM,22,7364,23,1411
1783930321,2026-07-13 04:12:01 AM,22,7464,23,1411
1783930321,2026-07-13 04:12:01 AM,22,7564,23,1411
1783930321,2026-07-13 04:12:01 AM,22,7643,23,1411
1783930441,2026-07-13 04:14:01 AM,22,6061,23,1411
1783930545,2026-07-13 04:15:45 AM,22,7664,23,1411
1783930670,2026-07-13 04:17:50 AM,22,6061,23,1411
1783930750,2026-07-13 04:19:10 AM,22,7664,23,1411
1783930806,2026-07-13 04:20:06 AM,22,7665,23,1411
1783930871,2026-07-13 04:21:11 AM,22,6062,23,1411
1783930876,2026-07-13 04:21:16 AM,22,7655,23,1411
1783930997,2026-07-13 04:23:17 AM,22,6062,23,1411
1783931001,2026-07-13 04:23:21 AM,22,7657,23,1411
1783931064,2026-07-13 04:24:24 AM,22,7658,23,1411
1783931124,2026-07-13 04:25:24 AM,22,6063,23,1411
1783931128,2026-07-13 04:25:28 AM,22,7656,23,1411
1783931250,2026-07-13 04:27:30 AM,22,6063,23,1411
1783931254,2026-07-13 04:27:34 AM,22,7639,23,1411
1783931374,2026-07-13 04:29:34 AM,22,7641,23,1411
1783931376,2026-07-13 04:29:36 AM,22,6065,23,1411
1783931381,2026-07-13 04:29:41 AM,22,7640,23,1411
1783931443,2026-07-13 04:30:43 AM,22,7640,23,1412
1783931483,2026-07-13 04:31:23 AM,22,6356,23,1412
1783931483,2026-07-13 04:31:23 AM,22,7640,23,1412
1783931493,2026-07-13 04:31:33 AM,22,7643,23,1412
1783931503,2026-07-13 04:31:43 AM,22,6068,23,1412
1783931507,2026-07-13 04:31:47 AM,22,7644,23,1412
1783931631,2026-07-13 04:33:51 AM,22,6068,23,1412
1783931659,2026-07-13 04:34:19 AM,22,6069,23,1412
1783931667,2026-07-13 04:34:27 AM,22,7645,23,1412
1783931681,2026-07-13 04:34:41 AM,22,7628,23,1412
1783931681,2026-07-13 04:34:41 AM,22,7645,23,1412
1783931682,2026-07-13 04:34:42 AM,22,7628,23,1412
1783931696,2026-07-13 04:34:56 AM,22,6828,23,1412
1783931696,2026-07-13 04:34:56 AM,22,7628,23,1412
1783931704,2026-07-13 04:35:04 AM,22,6828,23,1412
1783931707,2026-07-13 04:35:07 AM,22,6828,23,1419
1783931788,2026-07-13 04:36:28 AM,22,5252,23,1419
1783931792,2026-07-13 04:36:32 AM,22,6828,23,1419
1783931914,2026-07-13 04:38:34 AM,22,5252,23,1419
1783931919,2026-07-13 04:38:39 AM,22,6828,23,1419
1783931981,2026-07-13 04:39:41 AM,22,6828,23,2620
1783931981,2026-07-13 04:39:41 AM,22,7628,23,2620
1783931982,2026-07-13 04:39:42 AM,22,6969,23,2620
1783932039,2026-07-13 04:40:39 AM,22,5393,23,2620
1783932044,2026-07-13 04:40:44 AM,22,6986,23,2620
1783932049,2026-07-13 04:40:49 AM,22,6986,23,2619
1783932054,2026-07-13 04:40:54 AM,22,6702,23,2619
1783932054,2026-07-13 04:40:54 AM,22,6703,23,2619
1783932054,2026-07-13 04:40:54 AM,22,6705,23,2619
1783932054,2026-07-13 04:40:54 AM,22,6706,23,2619
1783932054,2026-07-13 04:40:54 AM,22,6707,23,2619
1783932054,2026-07-13 04:40:54 AM,22,6786,23,2619
1783932054,2026-07-13 04:40:54 AM,22,6886,23,2619
1783932074,2026-07-13 04:41:14 AM,22,6702,23,2619
1783932169,2026-07-13 04:42:49 AM,22,5109,23,2619
1783932174,2026-07-13 04:42:54 AM,22,6701,23,2619
1783932300,2026-07-13 04:45:00 AM,22,5109,23,2619
1783932305,2026-07-13 04:45:05 AM,22,6700,23,2619
1783932429,2026-07-13 04:47:09 AM,22,5109,23,2619
1783932555,2026-07-13 04:49:15 AM,22,6702,23,2619
1783932679,2026-07-13 04:51:19 AM,22,5109,23,2619
1783932684,2026-07-13 04:51:24 AM,22,6701,23,2619
1783932805,2026-07-13 04:53:25 AM,22,5109,23,2619
1783932882,2026-07-13 04:54:42 AM,22,6701,23,2619
1783932985,2026-07-13 04:56:25 AM,22,5414,23,2619
1783932985,2026-07-13 04:56:25 AM,22,6701,23,2619
1783932986,2026-07-13 04:56:26 AM,22,5414,23,2619
1783933007,2026-07-13 04:56:47 AM,22,3022,23,2619
1783933007,2026-07-13 04:56:47 AM,22,3822,23,2619
1783933012,2026-07-13 04:56:52 AM,22,4614,23,2619
1783933012,2026-07-13 04:56:52 AM,22,5414,23,2619
1783933133,2026-07-13 04:58:53 AM,22,3022,23,2619
1783933133,2026-07-13 04:58:53 AM,22,3822,23,2619
1783933137,2026-07-13 04:58:57 AM,22,4614,23,2619
1783933137,2026-07-13 04:58:57 AM,22,5414,23,2619
1783933258,2026-07-13 05:00:58 AM,22,3022,23,2619
1783933258,2026-07-13 05:00:58 AM,22,3822,23,2619
1783933263,2026-07-13 05:01:03 AM,22,4613,23,2619
1783933263,2026-07-13 05:01:03 AM,22,5413,23,2619
1783933386,2026-07-13 05:03:06 AM,22,3022,23,2619
1783933386,2026-07-13 05:03:06 AM,22,3822,23,2619
1783933391,2026-07-13 05:03:11 AM,22,4613,23,2619
1783933391,2026-07-13 05:03:11 AM,22,5413,23,2619
1783933511,2026-07-13 05:05:11 AM,22,3022,23,2619
1783933511,2026-07-13 05:05:11 AM,22,3822,23,2619
1783933664,2026-07-13 05:07:44 AM,22,4614,23,2619
1783933664,2026-07-13 05:07:44 AM,22,5414,23,2619
1783933704,2026-07-13 05:08:24 AM,22,5594,23,2619
1783933704,2026-07-13 05:08:24 AM,22,6394,23,2619
1783933705,2026-07-13 05:08:25 AM,22,5594,23,2619
1783933705,2026-07-13 05:08:25 AM,22,6394,23,2619
1783933788,2026-07-13 05:09:48 AM,22,3642,23,2619
1783933788,2026-07-13 05:09:48 AM,22,3642,23,2979
1783933788,2026-07-13 05:09:48 AM,22,4002,23,2619
1783933788,2026-07-13 05:09:48 AM,22,4802,23,2619
1783933794,2026-07-13 05:09:54 AM,22,5234,23,2979
1783933794,2026-07-13 05:09:54 AM,22,6034,23,2979
1783933794,2026-07-13 05:09:54 AM,22,6394,23,2619
1783933794,2026-07-13 05:09:54 AM,22,6394,23,2979
1783933914,2026-07-13 05:11:54 AM,22,6394,23,2619
1783933920,2026-07-13 05:12:00 AM,22,4002,23,2619
1783933920,2026-07-13 05:12:00 AM,22,4802,23,2619
1783933921,2026-07-13 05:12:01 AM,22,3642,23,2619
1783933921,2026-07-13 05:12:01 AM,22,3642,23,2979
1783933926,2026-07-13 05:12:06 AM,22,5233,23,2979
1783933926,2026-07-13 05:12:06 AM,22,6033,23,2979
1783933926,2026-07-13 05:12:06 AM,22,6393,23,2619
1783933926,2026-07-13 05:12:06 AM,22,6393,23,2979
1783934048,2026-07-13 05:14:08 AM,22,3642,23,2619
1783934048,2026-07-13 05:14:08 AM,22,3642,23,2979
1783934048,2026-07-13 05:14:08 AM,22,4002,23,2619
1783934048,2026-07-13 05:14:08 AM,22,4802,23,2619
1783934058,2026-07-13 05:14:18 AM,22,5234,23,2979
1783934058,2026-07-13 05:14:18 AM,22,6034,23,2979
1783934059,2026-07-13 05:14:19 AM,22,6394,23,2619
1783934059,2026-07-13 05:14:19 AM,22,6394,23,2979
1783934085,2026-07-13 05:14:45 AM,22,4986,23,2619
1783934085,2026-07-13 05:14:45 AM,22,5966,23,2619
1783934086,2026-07-13 05:14:46 AM,22,3826,23,2619
1783934086,2026-07-13 05:14:46 AM,22,3826,23,2979
1783934086,2026-07-13 05:14:46 AM,22,4186,23,2619
1783934086,2026-07-13 05:14:46 AM,22,4186,23,2979
1783934086,2026-07-13 05:14:46 AM,22,4986,23,2619
1783934087,2026-07-13 05:14:47 AM,22,3826,23,2619
1783934087,2026-07-13 05:14:47 AM,22,3826,23,2979
1783934087,2026-07-13 05:14:47 AM,22,4186,23,2619
1783934087,2026-07-13 05:14:47 AM,22,4186,23,2979
1783934090,2026-07-13 05:14:50 AM,22,3826,23,2619
1783934090,2026-07-13 05:14:50 AM,22,3826,23,2979
1783934090,2026-07-13 05:14:50 AM,22,4186,23,2619
1783934090,2026-07-13 05:14:50 AM,22,4186,23,2979
1783934185,2026-07-13 05:16:25 AM,22,2234,23,2619
1783934185,2026-07-13 05:16:25 AM,22,2234,23,2979
1783934185,2026-07-13 05:16:25 AM,22,2594,23,2619
1783934186,2026-07-13 05:16:26 AM,22,3178,23,2979
1783934202,2026-07-13 05:16:42 AM,22,4769,23,2979
1783934202,2026-07-13 05:16:42 AM,22,4985,23,2619
1783934202,2026-07-13 05:16:42 AM,22,5569,23,2979
1783934202,2026-07-13 05:16:42 AM,22,5929,23,2619
1783934202,2026-07-13 05:16:42 AM,22,5929,23,2979
1783934236,2026-07-13 05:17:16 AM,22,3825,23,2619
1783934236,2026-07-13 05:17:16 AM,22,3825,23,2979
1783934236,2026-07-13 05:17:16 AM,22,4185,23,2619
1783934236,2026-07-13 05:17:16 AM,22,4185,23,2979
1783934236,2026-07-13 05:17:16 AM,22,4985,23,2619
1783934321,2026-07-13 05:18:41 AM,22,3825,23,2619
1783934321,2026-07-13 05:18:41 AM,22,3825,23,2979
1783934321,2026-07-13 05:18:41 AM,22,4185,23,2619
1783934321,2026-07-13 05:18:41 AM,22,4735,23,2979
1783934322,2026-07-13 05:18:42 AM,22,4185,23,2619
1783934322,2026-07-13 05:18:42 AM,22,4735,23,2979
1783934322,2026-07-13 05:18:42 AM,22,4985,23,2619
1783934322,2026-07-13 05:18:42 AM,22,5095,23,2619
1783934322,2026-07-13 05:18:42 AM,22,5095,23,2979
1783934327,2026-07-13 05:18:47 AM,22,2234,23,2619
1783934327,2026-07-13 05:18:47 AM,22,2234,23,2979
1783934327,2026-07-13 05:18:47 AM,22,2594,23,2619
1783934327,2026-07-13 05:18:47 AM,22,3194,23,2979
1783934327,2026-07-13 05:18:47 AM,22,3394,23,2619
1783934331,2026-07-13 05:18:51 AM,22,4785,23,2979
1783934334,2026-07-13 05:18:54 AM,22,5585,23,2979
1783934334,2026-07-13 05:18:54 AM,22,5945,23,2619
1783934334,2026-07-13 05:18:54 AM,22,5945,23,2979
1783934335,2026-07-13 05:18:55 AM,22,4185,23,2619
1783934335,2026-07-13 05:18:55 AM,22,4985,23,2619
1783934336,2026-07-13 05:18:56 AM,22,3825,23,2619
1783934336,2026-07-13 05:18:56 AM,22,3825,23,2979
1783934336,2026-07-13 05:18:56 AM,22,4185,23,2619
1783934336,2026-07-13 05:18:56 AM,22,4185,23,2979
1783934348,2026-07-13 05:19:08 AM,22,3825,23,2619
1783934348,2026-07-13 05:19:08 AM,22,3825,23,2979
1783934348,2026-07-13 05:19:08 AM,22,4185,23,2619
1783934348,2026-07-13 05:19:08 AM,22,4185,23,2979
1783934349,2026-07-13 05:19:09 AM,22,3825,23,2619
1783934349,2026-07-13 05:19:09 AM,22,3825,23,2979
1783934349,2026-07-13 05:19:09 AM,22,4185,23,2619
1783934349,2026-07-13 05:19:09 AM,22,4185,23,2979
1783934369,2026-07-13 05:19:29 AM,22,4185,23,2619
1783934369,2026-07-13 05:19:29 AM,22,4985,23,2619
1783934370,2026-07-13 05:19:30 AM,22,5631,23,2619
1783934370,2026-07-13 05:19:30 AM,22,6532,23,2619
1783934404,2026-07-13 05:20:04 AM,22,5372,23,2619
1783934404,2026-07-13 05:20:04 AM,22,5732,23,2619
1783934404,2026-07-13 05:20:04 AM,22,6532,23,2619
1783934405,2026-07-13 05:20:05 AM,22,5372,23,2619
1783934405,2026-07-13 05:20:05 AM,22,6172,23,2619
1783934405,2026-07-13 05:20:05 AM,22,6172,23,2979
1783934405,2026-07-13 05:20:05 AM,22,6532,23,2619
1783934405,2026-07-13 05:20:05 AM,22,6532,23,2979
1783934424,2026-07-13 05:20:24 AM,22,6532,23,2619
1783934456,2026-07-13 05:20:56 AM,22,3781,23,2619
