ticker_idx,cell,regime,anchor,offset,match_start_ts
738473,33,r25_34,33,2,1769986380.0
744521,24,r15_24,24,3,1769987820.0
754765,46,r45_54,46,2,1769991000.0
754205,58,r55_64,58,2,1769991000.0
731520,77,r75_84,77,2,1769991240.0
731065,30,r25_34,30,4,1769991240.0
742696,51,r45_54,51,1,1769991720.0
743106,52,r45_54,52,2,1769991720.0
745383,79,r75_84,79,2,1769992020.0
745911,23,r15_24,23,2,1769992020.0
734929,41,r35_44,41,2,1769992140.0
735317,62,r55_64,62,2,1769992140.0
718731,85,r85_94,85,3,1769995680.0
719269,17,r15_24,17,3,1769995680.0
747816,33,r25_34,33,3,1769996460.0
747508,79,r75_84,79,3,1769996460.0
733061,45,r45_54,45,2,1769997720.0
732652,51,r45_54,51,3,1769998680.0
760738,20,r15_24,20,4,1770004020.0
746962,67,r65_74,67,2,1770005280.0
748493,70,r65_74,70,2,1770005520.0
748065,30,r25_34,30,1,1770005520.0
715104,16,r15_24,16,2,1770009600.0
783802,31,r25_34,31,2,1770011220.0
762419,61,r55_64,61,4,1770011460.0
785676,41,r35_44,41,1,1770023400.0
790196,34,r25_34,34,2,1770024480.0
790600,71,r65_74,71,5,1770024480.0
778595,69,r65_74,69,3,1770032100.0
778827,34,r25_34,34,3,1770032100.0
773174,42,r35_44,42,2,1770032460.0
773586,60,r55_64,60,4,1770032460.0
812963,45,r45_54,45,3,1770032940.0
813353,57,r55_64,57,2,1770032940.0
812205,44,r35_44,44,4,1770033240.0
812585,59,r55_64,59,2,1770033240.0
822381,31,r25_34,31,1,1770033600.0
819521,51,r45_54,51,3,1770033960.0
819958,52,r45_54,52,3,1770033960.0
809705,42,r35_44,42,3,1770038760.0
809279,60,r55_64,60,3,1770038760.0
805366,54,r45_54,54,4,1770038880.0
811189,70,r65_74,70,3,1770038880.0
811721,31,r25_34,31,4,1770038880.0
804863,51,r45_54,51,4,1770038880.0
813746,67,r65_74,67,2,1770039060.0
814130,35,r35_44,35,3,1770039060.0
817223,9,r05_14,9,2,1770039480.0
817777,92,r85_94,92,3,1770039480.0
814496,86,r85_94,86,3,1770042000.0
815002,16,r15_24,16,3,1770042000.0
802427,60,r55_64,60,1,1770043440.0
776519,58,r55_64,58,2,1770043620.0
776035,45,r45_54,45,2,1770043620.0
821500,35,r35_44,35,2,1770044100.0
821384,85,r85_94,85,2,1770044100.0
798719,34,r25_34,34,2,1770044520.0
796408,50,r45_54,50,4,1770045720.0
796700,51,r45_54,51,1,1770045720.0
808677,57,r55_64,57,2,1770047340.0
808098,47,r45_54,47,2,1770047340.0
821614,56,r55_64,56,2,1770047520.0
777504,68,r65_74,68,2,1770048300.0
776991,34,r25_34,34,3,1770048300.0
791212,56,r55_64,56,2,1770049680.0
791018,85,r85_94,85,3,1770049680.0
810656,35,r35_44,35,2,1770049860.0
