fill_ts_ET,player,category,fill_cent,source,play_type,reference_source,real_start_source,scheduled_ET,real_ET,bucket,event
08:18:42,Moez Echargui,ATP_MAIN,30,fallback,v4_fallback_maker,engagement_join,latch,07:30:00,08:47:43,CORRIDOR,KXATPMATCH-26JUN22BUTECH
08:26:57,Shintaro Mochizuki,ATP_MAIN,71,staircase,v4_resting_maker,staircase,latch,07:30:00,08:30:16,CORRIDOR,KXATPMATCH-26JUN22SACMOC
08:38:04,Elias Ymer,ATP_MAIN,36,staircase,v4_resting_maker,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BASYME
08:52:53,TOB?,ATP_CHALL,35,staircase,v4_resting_maker,staircase,scheduled_fallback,07:00:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22TOBKRU
08:53:05,Filip Cristian Jianu,ATP_MAIN,13,staircase,v4_resting_maker,staircase,latch,09:00:00,09:02:29,PREMARKET,KXATPMATCH-26JUN22BLAJIA
08:55:12,Pedro Martinez,ATP_MAIN,15,staircase,v4_reconciled,staircase,scheduled_fallback,09:00:00,,PREMARKET,KXATPMATCH-26JUN22VIRMAR
09:01:07,ADD?,ATP_MAIN,20,staircase,v4_reconciled,staircase,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22LLAADD
09:02:33,LLA?,ATP_MAIN,79,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22LLAADD
09:05:54,Gonzalo Bueno,ATP_MAIN,18,staircase,v4_resting_maker,staircase,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22KYMBUE
09:08:10,Martin Landaluce,ATP_MAIN,59,reconcile,v4_reconciled,engagement_join,latch,09:00:00,09:09:13,CORRIDOR,KXATPMATCH-26JUN22STRLAN
09:10:30,Raphael Collignon,ATP_MAIN,79,staircase,v4_resting_maker,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22COLCER
09:10:33,Jerome Kym,ATP_MAIN,81,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22KYMBUE
09:13:20,Nick Kyrgios,ATP_MAIN,57,engagement,v4_engagement_join,engagement_join,latch,11:30:00,11:36:52,PREMARKET,KXATPMATCH-26JUN22WALKYR
09:17:11,Ajla Tomljanovic,WTA_MAIN,60,staircase,v4_resting_maker,staircase,scheduled_fallback,07:30:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22TOMCOC
09:28:59,AND?,ATP_CHALL,71,staircase,v4_resting_maker,staircase,latch,09:30:00,09:44:24,PREMARKET,KXATPCHALLENGERMATCH-26JUN22CIGAND
09:31:07,BUD?,ATP_MAIN,85,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BUDREI
09:33:11,Otto Virtanen,ATP_MAIN,85,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22VIRMAR
09:33:58,REI?,ATP_MAIN,13,staircase,v4_resting_maker,staircase,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BUDREI
09:36:06,TOS?,ATP_CHALL,35,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22LEITOS
09:37:06,Jay Clarke,ATP_MAIN,71,staircase,v4_resting_maker,staircase,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22CLAPEL
09:38:46,CAR?,ATP_MAIN,87,engagement,v4_engagement_join,engagement_join,scheduled_fallback,10:30:00,,PREMARKET,KXATPMATCH-26JUN22CEBCAR
09:40:58,ZAN?,ATP_CHALL,59,staircase,v4_resting_maker,staircase,scheduled_fallback,09:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22ZANMAR
09:42:09,MAR?,ATP_CHALL,37,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22ZANMAR
09:42:17,Andrea Pellegrino,ATP_MAIN,28,staircase,v4_reconciled,staircase,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22CLAPEL
09:42:43,Luka Mikrut,ATP_MAIN,35,staircase,v4_resting_maker,staircase,latch,09:00:00,11:13:29,CORRIDOR,KXATPMATCH-26JUN22TRAMIK
09:44:04,Luca Nardi,ATP_MAIN,61,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22NOGNAR
09:45:48,Jan Choinski,ATP_MAIN,32,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22CHOPOP
09:46:11,LEI?,ATP_CHALL,62,staircase,v4_resting_maker,staircase,scheduled_fallback,09:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22LEITOS
09:50:15,GAL?,ATP_MAIN,72,staircase,v4_resting_maker,staircase,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22DIAGAL
09:52:44,Tristan Boyer,ATP_MAIN,82,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BOYOLI
09:52:44,Genaro Alberto Olivieri,ATP_MAIN,17,staircase,v4_resting_maker,staircase,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BOYOLI
09:54:53,ARN?,ATP_MAIN,51,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:00:00,,PREMARKET,KXATPMATCH-26JUN22ARNMAR
10:01:14,AGA?,ATP_CHALL,80,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,08:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22CASAGA
10:02:40,Venus Williams,WTA_MAIN,22,staircase,v4_resting_maker,staircase,scheduled_fallback,09:30:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22WILBEG
10:02:52,DIA?,ATP_MAIN,26,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22DIAGAL
10:03:46,MAR?,ATP_MAIN,49,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22ARNMAR
10:10:43,MAR?,ATP_MAIN,49,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22ARNMAR
10:10:49,Irina-Camelia Begu,WTA_MAIN,76,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:30:00,,POST_SCHEDULED,KXWTAMATCH-26JUN22WILBEG
10:11:44,Dane Sweeny,ATP_MAIN,92,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22SWERON
10:11:49,Joel Josef Schwaerzler,ATP_MAIN,17,fallback,v4_fallback_maker,engagement_join,latch,10:30:00,11:59:43,PREMARKET,KXATPMATCH-26JUN22SCHOCO
10:13:00,Federico Coria,ATP_MAIN,24,staircase,v4_reconciled,staircase,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22CORBON
10:13:16,Rio Noguchi,ATP_MAIN,38,staircase,v4_resting_maker,staircase,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22NOGNAR
10:14:43,Franco Roncadelli,ATP_MAIN,8,staircase,v4_resting_maker,staircase,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22SWERON
10:15:44,Oliver Bonding,ATP_MAIN,73,staircase,v4_resting_maker,staircase,scheduled_fallback,09:00:00,,POST_SCHEDULED,KXATPMATCH-26JUN22CORBON
10:17:22,Dusan Lajovic,ATP_MAIN,49,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:30:00,,PREMARKET,KXATPMATCH-26JUN22NEULAJ
10:19:14,Francesco Maestrelli,ATP_MAIN,63,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:30:00,,PREMARKET,KXATPMATCH-26JUN22MAEBAS
10:32:57,Max Basing,ATP_MAIN,37,staircase,v4_resting_maker,staircase,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22MAEBAS
10:37:18,Henrique Rocha,ATP_MAIN,76,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22ROCMEJ
10:44:17,Francesca Jones,WTA_MAIN,22,staircase,v4_resting_maker,staircase,latch,09:00:00,11:06:21,CORRIDOR,KXWTAMATCH-26JUN22OSTJON
10:45:47,EAL?,WTA_MAIN,44,engagement,v4_engagement_join,engagement_join,scheduled_fallback,11:30:00,,PREMARKET,KXWTAMATCH-26JUN20EALMER
10:45:49,Nicolas Mejia,ATP_MAIN,24,reconcile,v4_reconciled,engagement_join,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22ROCMEJ
10:47:43,Paul Jubb,ATP_MAIN,43,staircase,v4_resting_maker,staircase,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22HERJUB
10:49:30,MCD?,ATP_MAIN,95,fallback,v4_fallback_maker,engagement_join,latch,10:30:00,12:31:19,CORRIDOR,KXATPMATCH-26JUN22MCDMEL
10:54:54,Florent Bax,ATP_MAIN,10,staircase,v4_resting_maker,staircase,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BAXROD
10:59:49,Chris Rodesch,ATP_MAIN,88,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22BAXROD
11:04:44,Francesca Jones,WTA_MAIN,22,staircase,v4_resting_maker,staircase,latch,09:00:00,11:06:21,CORRIDOR,KXWTAMATCH-26JUN22OSTJON
11:05:14,CEC?,ATP_MAIN,12,staircase,v4_resting_maker,staircase,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22CECBAR
11:06:22,Jelena Ostapenko,WTA_MAIN,77,resting_maker,v4_resting_maker,engagement_join,latch,09:00:00,11:06:21,POST_REAL,KXWTAMATCH-26JUN22OSTJON
11:07:43,BAR?,ATP_MAIN,85,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22CECBAR
11:13:55,AGA?,ATP_CHALL,80,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,08:30:00,,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22CASAGA
11:14:18,Oliver Crawford,ATP_MAIN,31,reconcile,v4_reconciled,engagement_join,latch,10:30:00,11:16:15,CORRIDOR,KXATPMATCH-26JUN22CRAROD
11:16:35,Chun-Hsin Tseng,ATP_MAIN,47,reconcile,v4_reconciled,engagement_join,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22TSEHEI
11:34:40,Lukas Neumayer,ATP_MAIN,52,fallback,v4_fallback_maker,engagement_join,scheduled_fallback,10:30:00,,POST_SCHEDULED,KXATPMATCH-26JUN22NEULAJ
