day,fill_ts_ET,player,category,fill_cent,source,real_start_source,bucket,event
20260622,08:14:58,Evans D.,ATP_MAIN,75,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22PRAEVA
20260622,08:18:42,Echargui M.,ATP_MAIN,30,fallback,latch,CORRIDOR,KXATPMATCH-26JUN22BUTECH
20260622,08:26:57,Mochizuki S.,ATP_MAIN,71,staircase,latch,CORRIDOR,KXATPMATCH-26JUN22SACMOC
20260622,08:38:04,Ymer E.,ATP_MAIN,36,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22BASYME
20260622,08:52:53,Tobon M.,ATP_CHALL,35,staircase,scheduled_fallback,POST_SCHEDULED,KXATPCHALLENGERMATCH-26JUN22TOBKRU
20260622,08:53:05,Filip Cristian Jianu,ATP_MAIN,13,staircase,latch,PREMARKET,KXATPMATCH-26JUN22BLAJIA
20260622,08:55:12,Martinez P.,ATP_MAIN,15,staircase,scheduled_fallback,PREMARKET,KXATPMATCH-26JUN22VIRMAR
20260622,09:01:07,Added D.,ATP_MAIN,20,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22LLAADD
20260622,09:02:33,Llamas Ruiz P.,ATP_MAIN,79,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22LLAADD
20260622,09:05:54,Bueno G.,ATP_MAIN,18,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22KYMBUE
20260622,09:08:10,Martin Landaluce,ATP_MAIN,59,reconcile,latch,CORRIDOR,KXATPMATCH-26JUN22STRLAN
20260622,09:10:30,Raphael Collignon,ATP_MAIN,79,staircase,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22COLCER
20260622,09:10:33,Kym J.,ATP_MAIN,81,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22KYMBUE
20260622,09:13:20,Nick Kyrgios,ATP_MAIN,57,engagement,latch,PREMARKET,KXATPMATCH-26JUN22WALKYR
20260622,09:17:11,Ajla Tomljanovic,WTA_MAIN,60,staircase,scheduled_fallback,POST_SCHEDULED,KXWTAMATCH-26JUN22TOMCOC
20260622,09:28:59,Andrade Da Silva L.,ATP_CHALL,71,staircase,latch,PREMARKET,KXATPCHALLENGERMATCH-26JUN22CIGAND
20260622,09:31:07,Budkov Kjaer N.,ATP_MAIN,85,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22BUDREI
20260622,09:33:11,Virtanen O.,ATP_MAIN,85,fallback,scheduled_fallback,POST_SCHEDULED,KXATPMATCH-26JUN22VIRMAR
