category,player,match,is_anchor,window1_open_ET,scheduled_ET,realstart_ET,real_start_source,bid_min,bid_max,bid_band_width,bid_at_window1,bid_at_scheduled,bid_at_realstart,bid_precorridor_width,bid_corridor_width,bid_net_direction,bid_where_motion_corridorfrac,ask_min,ask_max,ask_band_width,ask_at_window1,ask_at_scheduled,ask_at_realstart,ask_precorridor_width,ask_corridor_width,ask_net_direction,ask_where_motion_corridorfrac,last_min,last_max,last_band_width,last_at_window1,last_at_scheduled,last_at_realstart,last_precorridor_width,last_corridor_width,last_net_direction,last_where_motion_corridorfrac,taker_buy_vol,taker_sell_vol,our_bid_path,our_fill_cent
ATP_MAIN,Ugo Blanchet,26JUN22BLABLA2,,05:00:00,09:00:00,09:00:00,scheduled_fallback,66,69,3,,66,66,3,,0,,67,70,3,,67,67,3,,0,,64,69,5,,67,67,5,,0,,15,7144,staircase:65,65
ATP_MAIN,BLA2?,26JUN22BLABLA2,,05:00:00,09:00:00,09:00:00,scheduled_fallback,30,31,1,,31,31,1,,0,,31,32,1,,32,32,1,,0,,31,32,1,,32,32,1,,0,,1179,0,staircase:27->28,
ATP_MAIN,Darwin Blanch,26JUN22BLAJIA,,05:00:00,09:00:00,09:02:29,latch,6,89,83,,84,79,83,9,0,0.108,83,94,11,,85,90,11,5,0,0.455,83,90,7,,84,90,7,5,0,0.714,1299,8271,staircase:5,
ATP_MAIN,Filip Cristian Jianu,26JUN22BLAJIA,,05:00:00,09:00:00,09:02:29,latch,8,20,12,,16,9,12,6,0,0.5,9,94,85,,17,15,85,4,0,0.047,11,25,14,,15,13,14,1,0,0.071,25112,6576,staircase:12->13,13
ATP_MAIN,BOS?,26JUN22BOSJAC,,03:30:00,07:30:00,07:30:00,scheduled_fallback,10,12,2,,10,10,2,,0,,11,13,2,,12,12,2,,0,,11,13,2,,11,11,2,,0,,667,15,staircase:10,10
ATP_MAIN,JAC?,26JUN22BOSJAC,,03:30:00,07:30:00,07:30:00,scheduled_fallback,89,89,0,,89,89,0,,0,0.0,90,90,0,,90,90,0,,0,0.0,89,89,0,,89,89,0,,0,0.0,0,365,engagement_join:89->89,89
ATP_MAIN,Tristan Boyer,26JUN22BOYOLI,,05:00:00,09:00:00,09:00:00,scheduled_fallback,81,82,1,,82,82,1,,0,,82,84,2,,83,83,2,,0,,82,84,2,,84,84,2,,0,,21,0,engagement_join:81->75->83->83->82->82->82,82
ATP_MAIN,Genaro Alberto Olivieri,26JUN22BOYOLI,,05:00:00,09:00:00,09:00:00,scheduled_fallback,17,17,0,,17,17,0,,0,0.0,18,19,1,,19,19,1,,0,,18,19,1,,18,18,1,,0,,40,0,staircase:17,17
ATP_MAIN,Raul Brancaccio,26JUN22BRAGEA,,03:30:00,07:30:00,07:30:00,scheduled_fallback,23,24,1,,24,24,1,,0,,24,25,1,,25,25,1,,0,,24,24,0,,24,24,0,,0,0.0,39,0,engagement_join:23->23,23
ATP_MAIN,Arthur Gea,26JUN22BRAGEA,,03:30:00,07:30:00,07:30:00,scheduled_fallback,76,76,0,,76,76,0,,0,0.0,77,77,0,,77,77,0,,0,0.0,77,77,0,,77,77,0,,0,0.0,76,0,engagement_join:76->69->76->76->76,76
ATP_MAIN,Liam Broady,26JUN22BROHOL,,05:00:00,09:00:00,10:26:41,latch,45,64,19,,48,46,3,18,0,0.947,46,66,20,,50,51,4,18,0,0.9,46,68,22,,49,52,3,20,0,0.909,7797,1279,staircase:45->46,
ATP_MAIN,August Holmgren,26JUN22BROHOL,,05:00:00,09:00:00,10:26:41,latch,33,53,20,,50,47,3,19,0,0.95,36,57,21,,52,54,2,21,0,1.0,35,56,21,,52,51,2,21,0,1.0,18984,442,engagement_join:53,53
ATP_MAIN,BUD?,26JUN22BUDREI,,05:00:00,09:00:00,09:00:00,scheduled_fallback,83,85,2,,85,85,2,,0,,86,87,1,,87,87,1,,0,,,,,,,,,,0,,0,0,engagement_join:83->77->85->85->84->84->85->85->85,85
ATP_MAIN,REI?,26JUN22BUDREI,,05:00:00,09:00:00,09:00:00,scheduled_fallback,13,14,1,,14,14,1,,0,,15,16,1,,16,16,1,,0,,15,16,1,,15,15,1,,0,,156,0,staircase:12->13,13
ATP_MAIN,Edas Butvilas,26JUN22BUTECH,,03:30:00,07:30:00,08:47:43,latch,69,96,27,,69,96,0,27,0,1.0,70,97,27,,70,97,0,27,0,1.0,70,96,26,,70,96,0,26,0,1.0,7663,2449,staircase:65->66->67->68->69,
