ts_ET,leg,phase,best_bid,best_ask,bid_depth,ask_depth,last_traded_price,last_traded_side,last_traded_size,our_bid
08:49:28.83,Oliver Crawford,window1,30,32,3661,2184,32,buy,119,30
08:49:44.87,Jurij Rodionov,window1,68,69,2062,26,69,buy,3,65
08:49:44.87,Oliver Crawford,window1,30,32,3661,2184,32,buy,119,30
08:50:23.84,Jurij Rodionov,window1,68,69,2062,26,69,buy,3,65
08:50:23.84,Oliver Crawford,window1,30,32,1661,2184,32,buy,119,30
08:50:40.19,Jurij Rodionov,window1,68,69,2062,26,69,buy,3,65
08:50:40.19,Oliver Crawford,window1,30,32,3661,2184,32,buy,119,30
08:51:16.53,Jurij Rodionov,window1,68,69,2062,26,69,buy,3,65
08:51:16.53,Oliver Crawford,window1,30,32,3661,2184,32,buy,119,30
08:51:33.76,Jurij Rodionov,window1,68,69,2062,26,69,buy,3,65
08:51:33.76,Oliver Crawford,window1,30,32,3661,2184,32,buy,119,30
08:51:49.84,Jurij Rodionov,window1,68,69,2966,26,69,buy,3,65
08:51:49.84,Oliver Crawford,window1,30,32,4642,8319,32,buy,119,30
08:52:06.31,Jurij Rodionov,window1,68,69,2966,26,69,buy,3,65
08:52:06.31,Oliver Crawford,window1,30,32,4642,8319,32,buy,119,30
08:52:19.93,Oliver Crawford,window1,30,32,4642,8319,32,buy,119,30
08:52:47.27,Jurij Rodionov,window1,68,69,2966,26,69,buy,3,65
08:52:47.27,Oliver Crawford,window1,30,32,4642,8319,32,buy,119,30
08:53:00.42,Jurij Rodionov,window1,68,69,2966,26,69,buy,3,65
08:53:00.42,Oliver Crawford,window1,30,32,4642,8362,32,buy,119,30
08:53:13.93,Oliver Crawford,window1,30,32,4642,8362,32,buy,119,30
08:53:37.10,Oliver Crawford,window1,30,32,4642,8362,32,buy,119,30
08:53:48.84,Jurij Rodionov,window1,68,69,2966,26,69,buy,3,65
08:53:48.84,Oliver Crawford,window1,30,32,4642,8362,32,buy,119,30
08:54:05.55,Jurij Rodionov,window1,68,69,2966,26,69,buy,3,65
08:54:05.55,Oliver Crawford,window1,30,32,4642,8362,32,buy,119,30
