ts_et,ticker,bid_1,bid_1_sz,bid_2,bid_2_sz,bid_3,bid_3_sz,bid_4,bid_4_sz,bid_5,bid_5_sz,ask_1,ask_1_sz,ask_2,ask_2_sz,ask_3,ask_3_sz,ask_4,ask_4_sz,ask_5,ask_5_sz,mid
2026-04-18 03:04:12 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,507,21,110,20,168,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 03:04:24 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,87,10,82,507,21,110,20,168,19,105,93,21,94,380,95,25,96,543,97,84,90.0
2026-04-18 03:04:24 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,87,10,82,500,21,110,20,168,19,105,93,21,94,380,95,25,96,543,97,84,90.0
2026-04-18 03:04:24 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,87,10,82,500,21,109,20,168,19,105,93,21,94,380,95,25,96,543,97,84,90.0
2026-04-18 03:04:24 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,87,10,82,500,20,168,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,90.0
2026-04-18 03:04:24 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,87,11,82,500,20,168,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,90.0
2026-04-18 03:09:57 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,87,18,82,500,20,168,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,90.0
2026-04-18 03:09:57 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,87,18,83,67,82,500,20,168,19,105,93,21,94,380,95,25,96,543,97,84,90.0
2026-04-18 03:34:25 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,87,8,83,67,82,500,20,168,19,105,93,21,94,380,95,25,96,543,97,84,90.0
2026-04-18 03:34:25 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,87,7,83,67,82,500,20,168,19,105,93,21,94,380,95,25,96,543,97,84,90.0
2026-04-18 03:34:25 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,83,67,82,500,20,168,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,88.0
2026-04-18 03:34:26 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,83,67,82,500,21,43,20,168,19,105,93,21,94,380,95,25,96,543,97,84,88.0
2026-04-18 03:34:26 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,83,67,82,500,21,44,20,168,19,105,93,21,94,380,95,25,96,543,97,84,88.0
2026-04-18 03:34:26 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,500,21,44,20,168,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 03:34:26 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,21,44,20,168,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 03:34:27 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,21,111,20,168,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 03:34:27 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,21,111,19,105,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 03:34:27 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,22,171,21,111,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 03:34:27 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,22,171,21,68,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 03:34:27 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,22,171,21,67,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 03:34:27 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,22,171,19,105,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 03:34:27 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,23,111,22,171,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5
2026-04-18 03:37:28 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,23,111,22,171,19,105,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,4145,1053,0.797
2026-04-18 03:39:14 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,23,111,22,171,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5565,1053,0.841
2026-04-18 03:39:14 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,23,111,19,1525,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5,5510,1053,0.840
2026-04-18 03:39:14 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,24,162,23,111,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5556,1053,0.841
2026-04-18 03:39:14 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,24,162,19,1525,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5,5561,1053,0.841
2026-04-18 03:39:14 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,24,162,20,1,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5446,1053,0.838
2026-04-18 03:39:15 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,24,162,19,1525,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5,5561,1053,0.841
2026-04-18 03:39:15 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,25,111,24,162,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5556,1053,0.841
2026-04-18 03:45:01 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,25,111,19,1525,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5,5510,1053,0.840
2026-04-18 03:45:01 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,26,192,25,111,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5586,1053,0.841
2026-04-18 03:45:01 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,26,192,19,1525,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5,5591,1053,0.842
2026-04-18 03:45:01 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,26,192,20,1,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5476,1053,0.839
2026-04-18 03:45:01 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,27,1,26,192,20,1,19,1525,93,21,94,380,95,25,96,543,97,84,87.5,2227,1053,0.679
2026-04-18 03:45:01 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,27,1,26,192,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5476,1053,0.839
2026-04-18 03:45:02 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,27,111,26,192,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5586,1053,0.841
2026-04-18 03:45:30 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,27,111,19,1525,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5,5510,1053,0.840
2026-04-18 03:45:30 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,28,167,27,111,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5561,1053,0.841
2026-04-18 03:45:30 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,28,167,27,111,20,111,19,1525,93,21,94,380,95,25,96,543,97,84,87.5,2422,1053,0.697
2026-04-18 03:45:30 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,28,167,27,110,20,111,19,1525,93,21,94,380,95,25,96,543,97,84,87.5,2421,1053,0.697
2026-04-18 03:45:30 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,28,167,20,111,19,1525,18,3250,93,21,94,380,95,25,96,543,97,84,87.5,5561,1053,0.841
2026-04-18 03:45:30 PM,KXATPCHALLENGERMATCH-26APR19MASKRU-KRU,82,508,28,167,19,1525,18,3250,6,116,93,21,94,380,95,25,96,543,97,84,87.5,5566,1053,0.841
