c,X,target,raw_N,pooled_N,match_N,reach_raw,reach_pooled,reach_pooled_match,exp_ret_match,net_raw,net_pooled,miss_cost_raw,reach_pooled_mono,reach_pooled_match_mono,minute_over_optimistic
46.0,11.0,57.0,561.0,3802.3,29.0,0.8074866310160428,0.8451343447593027,0.8596214085115574,3.0775005400734496,0.026737967914439054,1.9967976094818125,46.0,0.8451343447593027,0.8596214085115574,-0.014487063752254725
47.0,12.0,59.0,1089.0,3850.5,31.0,0.9403122130394858,0.8240942851998517,0.8521907786831897,3.314668975033193,8.47842056932966,1.5227763290156642,47.0,0.8240942851998517,0.8521907786831897,-0.02809649348333798
48.0,12.0,60.0,424.0,3619.4,31.0,0.23113207547169812,0.8122097819528195,0.8733775697409255,4.396430224782674,-34.13207547169811,0.7721543155252566,48.0,0.8122097819528195,0.8733775697409255,-0.061167787788106054
49.0,12.0,61.0,245.0,3912.6,31.0,0.8775510204081632,0.8399850615169236,0.8633641807294501,3.6146797314461985,4.530612244897958,2.3882117425657055,49.0,0.8399850615169236,0.8633641807294501,-0.023379119212526445
50.0,12.0,62.0,535.0,4496.9,31.0,0.8411214953271028,0.8792043667221985,0.8659720830828824,3.6336472316836965,2.149532710280373,4.685389087849858,50.0,0.8792043667221985,0.8659720830828824,0.013232283639316056
51.0,11.0,62.0,269.0,3868.1,31.0,0.9033457249070632,0.8758758883821953,0.8557198830086641,1.9951989404558257,5.007434944237919,3.513440940303599,51.0,0.8758758883821953,0.8557198830086641,0.02015600537353124
52.0,12.0,64.0,911.0,3718.9,30.0,0.9934138309549945,0.9431062386231516,0.8515663283164157,2.5068340917045853,11.578485181119646,8.377833715230416,52.0,0.9431062386231516,0.8515663283164157,0.09153991030673592
53.0,12.0,65.0,1097.0,3608.7,30.0,0.9881494986326345,0.9475549497531166,0.8578902966649381,2.786243353482505,11.22971741112124,8.580203159934452,53.0,0.9475549497531166,0.8578902966649381,0.0896646530881785
54.0,13.0,67.0,669.0,3710.9,30.0,0.8654708520179372,0.9358746204544155,0.8538459676638591,3.278088391906284,3.9865470852017895,8.677220497757569,54.0,0.9358746204544155,0.8538459676638591,0.08202865279055638
55.0,13.0,68.0,403.0,4034.1,30.0,0.8560794044665012,0.9204256007538679,0.8579340623930075,3.447505689485026,3.2133995037220826,7.530735679369939,55.0,0.9204256007538679,0.8579340623930075,0.06249153836086041
56.0,14.0,70.0,422.0,3906.6,30.0,0.919431279620853,0.811186172752038,0.8551575438024317,3.980286640937835,8.360189573459712,0.6269751196642419,56.0,0.811186172752038,0.8551575438024317,-0.043971371050393726
57.0,26.0,83.0,617.0,3084.4,29.0,0.9189627228525121,0.7299912562241601,0.8561747838417808,14.141541280259014,19.273905996758508,3.546064565217848,57.0,0.7299912562241601,0.8561747838417808,-0.12618352761762075
58.0,30.0,88.0,543.0,2407.6,26.0,0.5322283609576427,0.7189871500572546,0.8614784229690412,17.846478161640444,-11.163904235727443,5.2606620715187775,58.0,0.7189871500572546,0.8614784229690412,-0.14249127291178665
59.0,30.0,89.0,384.0,2034.6,26.0,0.328125,0.6827845719661335,0.8547450744472852,17.17340953526846,-29.796875,1.9255732396439265,59.0,0.6827845719661335,0.8547450744472852,-0.1719605024811517
60.0,29.0,89.0,94.0,2009.7,25.0,0.7978723404255319,0.6599315014107323,0.8549677706156924,16.121138030673485,11.010638297872337,-1.037870085596772,60.0,0.6599315014107323,0.8549677706156924,-0.1950362692049601
61.0,27.0,88.0,115.0,1885.4,25.0,0.9565217391304348,0.7256198804516271,0.861298990086167,14.764940239043824,23.17391304347826,3.1134464246181075,61.0,0.7256198804516271,0.861298990086167,-0.13567910963453989
62.0,26.0,88.0,252.0,1897.4,24.0,0.9642857142857143,0.8938877095381011,0.8707620979426253,14.484883608615862,22.85714285714286,16.654961464858253,62.0,0.8938877095381011,0.8707620979426253,0.02312561159547588
63.0,26.0,89.0,357.0,2140.2,23.0,1.0,0.9242522403667828,0.8681084715374272,14.141052218735995,26.0,19.149864733806343,0.0,0.9242522403667828,0.8681084715374272,0.05614376882935557
64.0,27.0,91.0,568.0,2214.7,24.0,0.8116197183098591,0.870966972620011,0.8511428718848357,13.35436767968629,9.85739436619718,15.197332752483053,64.0,0.870966972620011,0.8511428718848357,0.019824100735175265
65.0,26.0,91.0,537.0,2497.5,24.0,0.8435754189944135,0.9232371162769196,0.8587922293057579,13.062496862607302,11.765363128491627,18.966674595073403,65.0,0.9232371162769196,0.8587922293057579,0.06444488697116169
66.0,26.0,92.0,302.0,2410.8,24.0,0.8741721854304636,0.8848773533205049,0.8514915885639949,12.305531738757645,14.423841059602651,15.306311094995381,66.0,0.8848773533205049,0.8514915885639949,0.033385764756510006
67.0,25.0,92.0,166.0,2492.5,24.0,0.9156626506024096,0.8273527698625037,0.8551444284265043,11.687863740722939,17.240963855421683,8.852761403432448,67.0,0.8273527698625037,0.8551444284265043,-0.027791658564000565
68.0,24.0,92.0,362.0,1520.6,24.0,0.9088397790055248,0.8981127893583702,0.8684942391736193,12.024235200635676,15.613259668508283,14.614395340471836,68.0,0.8981127893583702,0.8684942391736193,0.029618550184750903
69.0,27.0,96.0,173.0,2271.5,23.0,0.3930635838150289,0.7836586787185691,0.8574113457638857,13.327810475295516,-31.26589595375722,6.116175149567264,69.0,0.7836586787185691,0.8574113457638857,-0.07375266704531658
70.0,28.0,98.0,494.0,2254.9,23.0,0.5951417004048583,0.7142434824381502,0.8506251474404343,13.487143194149565,-11.676113360323892,0.08032233457653364,70.0,0.7142434824381502,0.8506251474404343,-0.1363816650022841
71.0,27.0,98.0,359.0,2223.3,23.0,0.754874651810585,0.7583857027045149,0.8572624949752111,13.164143105989545,2.97771587743733,3.5830692007143763,71.0,0.7583857027045149,0.8572624949752111,-0.09887679227069623
72.0,27.0,99.0,457.0,1925.7,22.0,0.9518599562363238,0.7244809838511563,0.8658083932452767,13.907339909714093,22.234135667396057,0.25538382704234086,72.0,0.7244809838511563,0.8646667444846503,-0.14132740939412036
73.0,26.0,99.0,274.0,1986.5,22.0,0.9890510948905109,0.8039131789579429,0.8638392857142857,12.731696428571427,24.91605839416058,7.087462851774508,73.0,0.8039131789579429,0.8626835349524425,-0.0599261067563428
74.0,25.0,99.0,137.0,2046.4,21.0,0.9197080291970803,0.8983599845872267,0.8547925608011444,10.86695278969957,17.05109489051095,15.192460986417492,74.0,0.8973198312044572,0.8547925608011444,0.04356742378608225
75.0,24.0,99.0,75.0,1895.9,22.0,0.88,0.9513214058668604,0.8734006734006735,11.65387205387205,12.120000000000001,19.27022977022977,75.0,0.9513214058668604,0.8721461187214613,0.07792073246618691
76.0,23.0,99.0,334.0,1650.7,22.0,0.9760479041916168,0.9625789904096351,0.868880503144654,10.214490566037734,20.628742514970064,19.343104601888335,76.0,0.9625789904096351,0.868880503144654,0.09369848726498109
77.0,22.0,99.0,512.0,1398.9,21.0,0.994140625,0.9709656416838738,0.8730766815298625,9.623626201092755,21.419921875,19.1806183380769,77.0,0.9709656416838738,0.8730766815298625,0.09788896015401127
78.0,21.0,99.0,274.0,1263.0,21.0,0.9854014598540146,0.9808210940067082,0.8908522101848096,10.38068478071954,19.55474452554745,19.137817194368157,78.0,0.9782053986574156,0.8780338375983788,0.0899688838218986
79.0,20.0,99.0,69.0,1282.4,20.0,0.9420289855072463,0.9848710286450193,0.8790281329923274,8.211764705882356,14.260869565217387,18.52801360357094,79.0,0.9782449002655816,0.8630159786950732,0.10584289565269189
80.0,19.0,99.0,61.0,1021.1,20.0,0.8852459016393442,0.9812673194162201,0.8694835680751174,6.264162754303602,7.639344262295081,17.166118603362275,80.0,0.9744890587120909,0.8602104359029417,0.11178375134110274
81.0,18.0,99.0,58.0,494.1,19.0,0.896551724137931,0.9558703233306065,0.8603373872106708,4.3428795606120065,7.758620689655173,13.68114694105997,81.0,0.9398422778979691,0.8552757411539688,0.09553293611993574
82.0,16.0,98.0,31.0,291.1,19.0,0.9354838709677419,0.9229080578512396,0.85002895193978,1.482918355529824,9.677419354838705,8.535769628099175,82.0,0.8990357974066273,0.85002895193978,0.07287910591145963
83.0,16.0,99.0,52.0,260.2,20.0,0.9230769230769231,0.9164090106007068,0.8612244897959185,2.48979591836735,8.38461538461539,7.862963780918729,83.0,0.8749640149697726,0.8612244897959185,0.055184520804788306
84.0,15.0,99.0,35.0,273.1,20.0,0.6,0.8543871628542165,0.8745959922430511,2.8106011635423402,-24.6,0.712529873677025,84.0,0.8543871628542165,0.8745959922430511,-0.020208829388834615
85.0,14.0,99.0,36.0,290.1,19.0,0.8888888888888888,0.8472193929517213,0.8935879945429742,3.6480218281036834,2.9999999999999947,-0.9521287431248744,85.0,0.8472193929517213,0.8856209150326798,-0.04636860159125289
86.0,13.0,99.0,42.0,423.2,18.0,0.9285714285714286,0.8626956082786471,0.9141993957703926,4.629607250755286,5.928571428571431,-0.35756352010768855,86.0,0.8626956082786471,0.8933333333333333,-0.051503787491745445
87.0,12.0,99.0,45.0,458.4,18.0,0.9111111111111111,0.8529365205002374,0.8808685446009389,0.33333333333333215,3.1999999999999984,-2.2672154503720128,87.0,0.8529365205002374,0.8808685446009389,-0.027932024100701502
88.0,11.0,99.0,107.0,472.3,18.0,0.9906542056074766,0.948713699821865,0.8888176181312807,0.14646140688475315,10.074766355140188,6.015700733253241,88.0,0.948713699821865,0.8888176181312807,0.05989608169058436
89.0,10.0,99.0,214.0,511.8,18.0,1.0,0.9853884533143263,0.9287235234786506,3.086069707497477,10.0,8.587542822983009,0.0,0.9853884533143263,0.9287235234786506,0.056664929835675726
90.0,9.0,99.0,39.0,466.3,17.0,0.9743589743589743,0.992862695215886,0.9517906336088156,4.291322314049586,6.461538461538459,8.306550773796905,90.0,0.992862695215886,0.9517906336088156,0.04107206160707044
91.0,8.0,99.0,38.0,521.1,17.0,1.0,0.9977997799779978,0.9775784753363228,5.802690582959641,8.0,7.784378437843784,0.0,0.9977997799779978,0.9775784753363228,0.020221304641675042
92.0,7.0,99.0,60.0,425.0,17.0,1.0,1.0,1.0,6.999999999999999,7.0,6.999999999999999,0.0,1.0,1.0,0.0
93.0,6.0,99.0,52.0,222.8,17.0,1.0,1.0,1.0,6.0,6.0,6.0,0.0,1.0,1.0,0.0
94.0,5.0,99.0,53.0,174.1,14.0,1.0,1.0,1.0,4.999999999999999,5.0,5.0,0.0,1.0,1.0,0.0
