c,tbin,fill
22,50,0.6130065450648284
22,60,0.6336983983895076
22,70,0.647914713901379
22,80,0.6779342121269218
22,90,0.7026456844228439
22,100,0.7150680705323696
22,110,0.716501815748894
22,120,0.7334511221661941
22,130,0.7279012501160458
22,140,0.724940291543652
22,150,0.7351210717077971
22,160,0.7546962418840503
22,170,0.7490570293279728
22,180,0.744667157991809
22,190,0.7353631281014078
22,200,0.7306343195333715
22,210,0.7547743813475182
22,220,0.7283384310657471
22,230,0.7302237199917633
22,240,0.7639090425837594
23,20,0.27197287237437234
23,30,0.49323512263519925
23,40,0.561188803941601
23,50,0.6089831815862937
23,60,0.633552911867638
23,70,0.6479966391792198
23,80,0.6780153944191912
23,90,0.6916649520451538
23,100,0.7074973598267528
23,110,0.7032084407406567
23,120,0.7102485010956174
23,130,0.7097139073614306
23,140,0.7062507101311863
23,150,0.7085374510324121
23,160,0.728552406315389
23,170,0.7304452795560313
23,180,0.7198548331411672
23,190,0.7069365237206202
23,200,0.7091436029519137
23,210,0.7349878612123267
23,220,0.7066438406334693
23,230,0.7082171345090263
23,240,0.7426993845865484
24,20,0.2764673509042873
24,30,0.5071329779460786
24,40,0.5794022877589776
24,50,0.6234753592660535
24,60,0.6438591419221426
24,70,0.6561947892586724
24,80,0.6844258849644255
24,90,0.698375533319402
24,100,0.7038088965741687
24,110,0.6930873740523474
24,120,0.7140482578668939
24,130,0.7144562438697002
24,140,0.7140915506711824
24,150,0.7131651150279604
24,160,0.7346791249871037
24,170,0.7468729774208054
24,180,0.7287857984505891
24,190,0.7212659354818642
24,200,0.7288504801796316
24,210,0.7616978767790831
24,220,0.7350817013683006
24,230,0.7304006702628242
24,240,0.7644264245870491
25,20,0.273952891007358
25,30,0.48715764583278803
25,40,0.5699877424799065
25,50,0.6157338965903343
25,60,0.636406668637248
25,70,0.636780917408212
25,80,0.658877327955873
25,90,0.6722201825435137
25,100,0.6740258634720249
25,110,0.6665263345517024
25,120,0.6878385096525911
25,130,0.6998428510832198
25,140,0.698679482408472
25,150,0.7061300881861557
25,160,0.7280235038476358
25,170,0.7436531503492173
25,180,0.7320040291970145
25,190,0.727763970249533
25,200,0.7375680108595113
25,210,0.7609190892488266
25,220,0.744108119627515
25,230,0.7386776738669819
25,240,0.7596477867567532
26,20,0.26336623793052594
26,30,0.466318809155907
26,40,0.551490629389773
26,50,0.5963443395923056
26,60,0.6274776548463609
26,70,0.6265304568948863
26,80,0.63975878675264
26,90,0.6544122762133372
26,100,0.6604031225798742
26,110,0.6500829175625054
26,120,0.6781160898673597
26,130,0.6821381639306893
26,140,0.6888891930839754
26,150,0.6907632233532895
26,160,0.7083112801683974
26,170,0.7248730149518594
26,180,0.7219519160598723
26,190,0.7233791001005964
26,200,0.7332038051729316
26,210,0.7502860911185331
26,220,0.7403139887644535
26,230,0.7329243966619262
26,240,0.7391957578435705
27,20,0.24374411520228334
27,30,0.4381881846045984
27,40,0.505455054064363
27,50,0.546928488924116
27,60,0.5697489863775906
27,70,0.5692171444849194
27,80,0.5729347714003608
27,90,0.593194814021168
27,100,0.5936056072542938
27,110,0.5797505068334289
27,120,0.6218144922150661
27,130,0.6164638424289808
27,140,0.6265672072847532
27,150,0.6282991116484622
27,160,0.6433458773650462
27,170,0.6631306492264417
27,180,0.6702800542986277
27,190,0.6866677660256602
27,200,0.6932947504712877
