c,D,time_bin_min_before_start,match_N,reach_dip_by_time_raw
24,8,10,13,0.23076923076923078
24,8,5,13,0.23076923076923078
24,8,2,13,0.23076923076923078
24,8,1,13,0.23076923076923078
25,3,240,7,0.0
25,3,180,7,0.0
25,3,120,7,0.14285714285714285
25,3,90,7,0.14285714285714285
25,3,60,7,0.42857142857142855
25,3,40,7,0.5714285714285714
25,3,30,7,0.5714285714285714
25,3,20,7,0.5714285714285714
25,3,10,7,0.5714285714285714
25,3,5,7,0.5714285714285714
25,3,2,7,0.5714285714285714
25,3,1,7,0.5714285714285714
25,5,240,7,0.0
25,5,180,7,0.0
25,5,120,7,0.14285714285714285
25,5,90,7,0.14285714285714285
25,5,60,7,0.14285714285714285
25,5,40,7,0.14285714285714285
25,5,30,7,0.14285714285714285
25,5,20,7,0.14285714285714285
25,5,10,7,0.14285714285714285
25,5,5,7,0.14285714285714285
25,5,2,7,0.14285714285714285
25,5,1,7,0.14285714285714285
25,8,240,7,0.0
25,8,180,7,0.0
25,8,120,7,0.14285714285714285
25,8,90,7,0.14285714285714285
25,8,60,7,0.14285714285714285
25,8,40,7,0.14285714285714285
25,8,30,7,0.14285714285714285
25,8,20,7,0.14285714285714285
25,8,10,7,0.14285714285714285
25,8,5,7,0.14285714285714285
25,8,2,7,0.14285714285714285
25,8,1,7,0.14285714285714285
26,3,240,15,0.0
26,3,180,15,0.26666666666666666
26,3,120,15,0.26666666666666666
26,3,90,15,0.3333333333333333
26,3,60,15,0.3333333333333333
26,3,40,15,0.4666666666666667
26,3,30,15,0.4666666666666667
26,3,20,15,0.5333333333333333
26,3,10,15,0.6
26,3,5,15,0.6
26,3,2,15,0.6
26,3,1,15,0.6
26,5,240,15,0.0
26,5,180,15,0.06666666666666667
26,5,120,15,0.06666666666666667
26,5,90,15,0.13333333333333333
26,5,60,15,0.13333333333333333
26,5,40,15,0.2
26,5,30,15,0.2
26,5,20,15,0.26666666666666666
26,5,10,15,0.26666666666666666
26,5,5,15,0.26666666666666666
26,5,2,15,0.26666666666666666
26,5,1,15,0.26666666666666666
26,8,240,15,0.0
26,8,180,15,0.06666666666666667
26,8,120,15,0.06666666666666667
26,8,90,15,0.06666666666666667
26,8,60,15,0.06666666666666667
26,8,40,15,0.06666666666666667
26,8,30,15,0.06666666666666667
26,8,20,15,0.13333333333333333
26,8,10,15,0.13333333333333333
26,8,5,15,0.13333333333333333
26,8,2,15,0.13333333333333333
26,8,1,15,0.13333333333333333
27,3,240,20,0.0
27,3,180,20,0.1
27,3,120,20,0.1
27,3,90,20,0.2
27,3,60,20,0.25
27,3,40,20,0.25
27,3,30,20,0.3
27,3,20,20,0.3
27,3,10,20,0.35
27,3,5,20,0.35
27,3,2,20,0.35
27,3,1,20,0.35
27,5,240,20,0.0
27,5,180,20,0.1
27,5,120,20,0.1
27,5,90,20,0.15
27,5,60,20,0.15
27,5,40,20,0.15
27,5,30,20,0.2
27,5,20,20,0.2
27,5,10,20,0.2
27,5,5,20,0.2
27,5,2,20,0.2
27,5,1,20,0.2
27,8,240,20,0.0
27,8,180,20,0.05
27,8,120,20,0.05
27,8,90,20,0.1
27,8,60,20,0.1
27,8,40,20,0.1
27,8,30,20,0.1
27,8,20,20,0.1
27,8,10,20,0.1
27,8,5,20,0.1
27,8,2,20,0.1
27,8,1,20,0.1
28,3,240,14,0.0
28,3,180,14,0.14285714285714285
28,3,120,14,0.2857142857142857
28,3,90,14,0.35714285714285715
28,3,60,14,0.42857142857142855
28,3,40,14,0.5714285714285714
28,3,30,14,0.5714285714285714
28,3,20,14,0.5714285714285714
28,3,10,14,0.6428571428571429
28,3,5,14,0.7857142857142857
28,3,2,14,0.7857142857142857
28,3,1,14,0.7857142857142857
28,5,240,14,0.0
28,5,180,14,0.0
28,5,120,14,0.14285714285714285
28,5,90,14,0.14285714285714285
28,5,60,14,0.21428571428571427
28,5,40,14,0.35714285714285715
28,5,30,14,0.35714285714285715
28,5,20,14,0.35714285714285715
28,5,10,14,0.35714285714285715
28,5,5,14,0.42857142857142855
28,5,2,14,0.42857142857142855
28,5,1,14,0.42857142857142855
28,8,240,14,0.0
28,8,180,14,0.0
28,8,120,14,0.07142857142857142
28,8,90,14,0.07142857142857142
28,8,60,14,0.14285714285714285
28,8,40,14,0.21428571428571427
28,8,30,14,0.21428571428571427
28,8,20,14,0.2857142857142857
28,8,10,14,0.2857142857142857
28,8,5,14,0.35714285714285715
28,8,2,14,0.35714285714285715
28,8,1,14,0.35714285714285715
29,3,240,13,0.0
29,3,180,13,0.15384615384615385
29,3,120,13,0.15384615384615385
29,3,90,13,0.15384615384615385
29,3,60,13,0.15384615384615385
29,3,40,13,0.15384615384615385
29,3,30,13,0.23076923076923078
29,3,20,13,0.23076923076923078
29,3,10,13,0.23076923076923078
29,3,5,13,0.46153846153846156
29,3,2,13,0.46153846153846156
29,3,1,13,0.5384615384615384
29,5,240,13,0.0
29,5,180,13,0.07692307692307693
29,5,120,13,0.07692307692307693
29,5,90,13,0.07692307692307693
29,5,60,13,0.07692307692307693
29,5,40,13,0.07692307692307693
29,5,30,13,0.15384615384615385
29,5,20,13,0.15384615384615385
29,5,10,13,0.15384615384615385
29,5,5,13,0.15384615384615385
29,5,2,13,0.23076923076923078
29,5,1,13,0.3076923076923077
29,8,240,13,0.0
29,8,180,13,0.07692307692307693
29,8,120,13,0.07692307692307693
29,8,90,13,0.07692307692307693
29,8,60,13,0.07692307692307693
29,8,40,13,0.07692307692307693
29,8,30,13,0.07692307692307693
29,8,20,13,0.15384615384615385
29,8,10,13,0.15384615384615385
29,8,5,13,0.15384615384615385
29,8,2,13,0.15384615384615385
29,8,1,13,0.15384615384615385
30,3,240,11,0.0
30,3,180,11,0.09090909090909091
30,3,120,11,0.09090909090909091
30,3,90,11,0.09090909090909091
30,3,60,11,0.09090909090909091
30,3,40,11,0.2727272727272727
30,3,30,11,0.36363636363636365
30,3,20,11,0.5454545454545454
30,3,10,11,0.6363636363636364
30,3,5,11,0.6363636363636364
30,3,2,11,0.6363636363636364
30,3,1,11,0.6363636363636364
30,5,240,11,0.0
30,5,180,11,0.09090909090909091
30,5,120,11,0.09090909090909091
30,5,90,11,0.09090909090909091
30,5,60,11,0.09090909090909091
30,5,40,11,0.18181818181818182
30,5,30,11,0.2727272727272727
30,5,20,11,0.2727272727272727
30,5,10,11,0.45454545454545453
30,5,5,11,0.45454545454545453
30,5,2,11,0.45454545454545453
30,5,1,11,0.45454545454545453
30,8,240,11,0.0
30,8,180,11,0.0
30,8,120,11,0.0
30,8,90,11,0.0
30,8,60,11,0.09090909090909091
30,8,40,11,0.09090909090909091
30,8,30,11,0.18181818181818182
30,8,20,11,0.18181818181818182
30,8,10,11,0.2727272727272727
30,8,5,11,0.45454545454545453
30,8,2,11,0.45454545454545453
30,8,1,11,0.45454545454545453
31,3,240,16,0.0
31,3,180,16,0.0625
31,3,120,16,0.125
31,3,90,16,0.1875
31,3,60,16,0.1875
31,3,40,16,0.25
31,3,30,16,0.3125
31,3,20,16,0.375
31,3,10,16,0.4375
31,3,5,16,0.4375
31,3,2,16,0.4375
31,3,1,16,0.4375
31,5,240,16,0.0
31,5,180,16,0.0625
31,5,120,16,0.0625
31,5,90,16,0.125
31,5,60,16,0.125
31,5,40,16,0.1875
31,5,30,16,0.25
31,5,20,16,0.25
31,5,10,16,0.3125
31,5,5,16,0.375
31,5,2,16,0.375
31,5,1,16,0.375
31,8,240,16,0.0
31,8,180,16,0.0
31,8,120,16,0.0
31,8,90,16,0.0
31,8,60,16,0.0
31,8,40,16,0.0625
31,8,30,16,0.0625
31,8,20,16,0.0625
31,8,10,16,0.125
31,8,5,16,0.125
31,8,2,16,0.1875
31,8,1,16,0.1875
32,3,240,21,0.0
32,3,180,21,0.09523809523809523
32,3,120,21,0.23809523809523808
32,3,90,21,0.23809523809523808
32,3,60,21,0.38095238095238093
32,3,40,21,0.38095238095238093
32,3,30,21,0.38095238095238093
32,3,20,21,0.42857142857142855
32,3,10,21,0.5238095238095238
32,3,5,21,0.5238095238095238
32,3,2,21,0.5238095238095238
32,3,1,21,0.5714285714285714
32,5,240,21,0.0
32,5,180,21,0.047619047619047616
32,5,120,21,0.19047619047619047
32,5,90,21,0.19047619047619047
32,5,60,21,0.2857142857142857
32,5,40,21,0.2857142857142857
32,5,30,21,0.3333333333333333
32,5,20,21,0.3333333333333333
32,5,10,21,0.38095238095238093
32,5,5,21,0.42857142857142855
32,5,2,21,0.42857142857142855
32,5,1,21,0.42857142857142855
32,8,240,21,0.0
32,8,180,21,0.047619047619047616
32,8,120,21,0.14285714285714285
32,8,90,21,0.14285714285714285
32,8,60,21,0.19047619047619047
32,8,40,21,0.23809523809523808
32,8,30,21,0.23809523809523808
32,8,20,21,0.2857142857142857
32,8,10,21,0.3333333333333333
