c,tbin,fill
34,130,0.5754019419519513
34,140,0.5569531998113758
34,150,0.5477786302232189
34,160,0.5289786289808076
34,170,0.49007333803364456
34,180,0.5062356208966948
34,190,0.4874153238677339
34,200,0.5681949360574683
34,210,0.5648209644816633
34,220,0.5623424150301843
34,230,0.6347267162540264
34,240,0.6875190413323854
35,20,0.1836528790996508
35,30,0.44811397566504263
35,40,0.5329948061968017
35,50,0.5607129795938957
35,60,0.4791751302964961
35,70,0.47953067136281013
35,80,0.45641491126482836
35,90,0.4623350522279519
35,100,0.49275278023358626
35,110,0.5566543935185306
35,120,0.5222168042733842
35,130,0.598319831454236
35,140,0.5717039548339192
35,150,0.5756168698594177
35,160,0.559922211735568
35,170,0.5210343824653021
35,180,0.5241302791696493
35,190,0.501130754343619
35,200,0.5668491034741004
35,210,0.5698846585831471
35,220,0.5860635475492483
35,230,0.641483209022578
35,240,0.6683702644746248
36,20,0.18245000414590573
36,30,0.44534351413754647
36,40,0.5121960779395072
36,50,0.5343537916150226
36,60,0.44141814733891255
36,70,0.4641045558004263
36,80,0.4487460738488069
36,90,0.48765821716238994
36,100,0.4863317505910859
36,110,0.5044893302368084
36,120,0.459163556321179
36,130,0.5448920085380604
36,140,0.5220877307935319
36,150,0.5521859249461567
36,160,0.5474973309423334
36,170,0.5124316856886115
36,180,0.5160583182237017
36,190,0.4865312874529464
36,200,0.5364172625210041
36,210,0.5135874240821212
36,220,0.5375486035223258
36,230,0.5684194124659834
36,240,0.545180354595476
37,20,0.18735533564292028
37,30,0.4510111214776741
37,40,0.5114457884728753
37,50,0.5144784151411774
37,60,0.41564337863694273
37,70,0.43446399108615996
37,80,0.4358691850297307
37,90,0.48664285912022814
37,100,0.4493859243107797
37,110,0.46241883539483375
37,120,0.4348200225292395
37,130,0.4952305869644756
37,140,0.49976805580155687
37,150,0.5618444816717717
37,160,0.5657831245112231
37,170,0.545872154047505
37,180,0.5350059987478705
37,190,0.5029944435235699
37,200,0.5289123073960842
37,210,0.5054252481645447
37,220,0.5310376189195409
37,230,0.5498320179180887
37,240,0.49001271109497
38,20,0.19477192693181952
38,30,0.4621198334946878
38,40,0.5273061102060974
38,50,0.5211528163734647
38,60,0.42857799752131626
38,70,0.45482653938617584
38,80,0.46092169412824696
38,90,0.5134617503108132
38,100,0.45414181076795285
38,110,0.4771973862389898
38,120,0.4732267512989909
38,130,0.5095151916192967
38,140,0.5328773887805629
38,150,0.6116421706998554
38,160,0.6143962765141051
38,170,0.6202553612084104
38,180,0.6021734439491119
38,190,0.5672961798183299
38,200,0.5752901923523204
38,210,0.5359455119904698
38,220,0.5695801304212254
38,230,0.576906523689273
38,240,0.5263332829732588
39,20,0.20283356255365928
39,30,0.44294124212176456
39,40,0.5155095634399183
39,50,0.5262186110248207
39,60,0.44227140367312834
39,70,0.4701986848898496
39,80,0.47957704630418585
39,90,0.5444693455092559
39,100,0.47499092600369786
39,110,0.4823844697006637
39,120,0.4667863226691951
39,130,0.509935085932499
39,140,0.5578533797660505
39,150,0.6464819118378102
39,160,0.6419418234725676
39,170,0.6512006068518096
39,180,0.6488988012266517
39,190,0.6035939052666446
39,200,0.5914436027961129
39,210,0.5758369912240102
39,220,0.6059847837584931
39,230,0.5777798796025325
39,240,0.5024810321093575
40,20,0.21351848170591425
40,30,0.4249932672343288
40,40,0.5007978427765646
40,50,0.5214572536817651
40,60,0.45090225464366557
40,70,0.4805784266635593
40,80,0.48163457421538214
40,90,0.5426710017145392
40,100,0.46341140802467196
40,110,0.48351793344274385
40,120,0.48580023139220974
40,130,0.5272937793340386
40,140,0.5863904501493747
40,150,0.6658445894672939
40,160,0.6593150120732958
40,170,0.6637965730548184
40,180,0.6682558746102801
40,190,0.6269917504802802
40,200,0.606322470006633
40,210,0.6134661502575672
40,220,0.6492915191755859
40,230,0.61713930310676
40,240,0.5505492755930584
41,20,0.2468327852144741
41,30,0.43316011996501025
41,40,0.524923257096361
41,50,0.5609541192019637
41,60,0.48644778369211933
41,70,0.5430708263805044
41,80,0.5334571819832062
41,90,0.585382451888294
41,100,0.5302200978595378
41,110,0.5517903250979566
41,120,0.5774705575249572
41,130,0.5885392074964588
41,140,0.6471622934888241
41,150,0.7077572425233613
41,160,0.6968403996759384
41,170,0.6837896991162937
41,180,0.7196530001785278
41,190,0.6834524595176042
41,200,0.6785849795075664
41,210,0.7025907628226709
41,220,0.7184901474715443
41,230,0.6521981720596547
41,240,0.6150468600103312
42,20,0.2563409084002624
42,30,0.4220238576627579
42,40,0.5134975780750699
42,50,0.5692487506582793
42,60,0.5025796101672416
42,70,0.5722015731696776
42,80,0.5486204270165352
42,90,0.5998661846548032
42,100,0.560660523152653
