code,cat,bell,margin,leg,census_A_epoch,census_B_epoch,census_sel_epoch,onset_tmin,runtime_onset_epoch,runtime_cand,runtime_passed_tmin,first_read_tmin,floor,floor_first_print_tmin,last_receipt_tmin,edge_tmin,runtime_vs_census
26JUL13AVAFET,WTA_MAIN,live_by_only,3,AVA,1783880448,1783890348,1783880448,250.0,1783880448,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,250.2,250.2,89,414.4,1145.2,1145.2,agrees
26JUL13AVAFET,WTA_MAIN,live_by_only,3,FET,1783880448,1783895688,1783880448,250.0,1783880448,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,252.7,252.7,8,898.1,417.6,1145.2,agrees
26JUL13BLISAS,WTA_MAIN,live_by_only,3,BLI,1783968995,1783992995,1783968995,1966.0,1783968995,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,1966.0,1966.0,42,2786.2,2481.7,3144.4,agrees
26JUL13BLISAS,WTA_MAIN,live_by_only,3,SAS,1783968995,1783993535,1783968995,1966.0,1783968995,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,1966.8,1967.6,55,2130.8,3144.4,3144.4,agrees
26JUL13ITOKOR,WTA_MAIN,exact,5,ITO,1783899099,1784039139,1783899099,275.0,1783899099,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,275.0,275.0,14,396.1,2618.3,2618.3,agrees
26JUL13ITOKOR,WTA_MAIN,exact,5,KOR,1783899039,1783968759,1783899039,274.0,1783899039,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,274.1,274.1,81,1826.7,1126.4,2618.3,agrees
26JUL13KAWWAL,WTA_MAIN,live_by_only,3,KAW,1783863361,,1783863361,326.0,1783863301,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,325.3,325.3,31,1699.0,1699.0,1699.3,DIVERGES
26JUL13KAWWAL,WTA_MAIN,live_by_only,3,WAL,1783863121,1783865881,1783863121,322.0,1783863121,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,322.5,322.5,66,368.0,1699.0,1699.3,agrees
26JUL13KRETOM,WTA_MAIN,exact,1,KRE,1783978055,1784031095,1783978055,2117.0,1783978055,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,2117.4,2117.4,89,2964.6,3002.3,3144.4,agrees
26JUL13KRETOM,WTA_MAIN,exact,1,TOM,1783978055,1784036315,1783978055,2117.0,1783978055,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,2117.4,2117.4,10,2994.3,3144.4,3144.4,agrees
26JUL13MORBEJ,WTA_MAIN,live_by_only,6,BEJ,1783900059,1783943499,1783900059,291.0,1783900059,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,291.7,293.2,83,302.5,1235.3,1235.3,agrees
26JUL13MORBEJ,WTA_MAIN,live_by_only,6,MOR,1783900059,1783941639,1783900059,291.0,1783900059,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,291.0,291.4,11,1002.8,824.3,1235.3,agrees
26JUL13QUERUS,WTA_MAIN,live_by_only,15,QUE,1783863301,1784017561,1783863301,325.0,1783863301,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,326.2,326.3,29,1183.8,352.6,2938.4,agrees
26JUL13QUERUS,WTA_MAIN,live_by_only,15,RUS,1783863241,1783971001,1783863241,324.0,1783863241,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,324.1,324.1,56,346.6,2938.4,2938.4,agrees
26JUL13ROMKUL,WTA_MAIN,live_by_only,8,KUL,1783872106,1783913746,1783872106,372.0,1783872106,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,376.6,376.6,23,1195.0,474.4,1430.4,agrees
26JUL13ROMKUL,WTA_MAIN,live_by_only,8,ROM,1783872106,1783912666,1783872106,372.0,1783872106,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,372.4,372.4,69,441.7,1430.3,1430.4,agrees
26JUL13SAKTON,WTA_MAIN,exact,7,SAK,1783899759,1784031579,1783899759,286.0,1783899699,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,285.0,285.0,53,795.8,2683.3,2683.3,DIVERGES
26JUL13SAKTON,WTA_MAIN,exact,7,TON,1783899759,1784029299,1783899759,286.0,1783899699,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,285.0,285.0,40,1440.4,1432.5,2683.3,DIVERGES
26JUL16UDVKAW,WTA_MAIN,live_by_only,3,KAW,1784139066,1784203926,1784139066,544.0,1784139066,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,545.2,546.2,46,1066.6,829.8,1822.9,agrees
26JUL16UDVKAW,WTA_MAIN,live_by_only,3,UDV,1784139066,1784210346,1784139066,544.0,1784139066,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,544.3,544.3,51,627.2,1822.8,1822.9,agrees
26JUL17PUTSHE,WTA_MAIN,live_by_only,2,PUT,1784262354,1784253774,1784253774,813.0,1784253774,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,813.4,816.2,58,955.5,1283.0,1283.1,agrees
26JUL17PUTSHE,WTA_MAIN,live_by_only,2,SHE,1784262354,1784263314,1784262354,956.0,1784262354,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,959.8,961.0,40,1135.5,1134.1,1283.1,agrees
26JUL17ZIDMAR,WTA_MAIN,live_by_only,6,MAR,1784221873,1784298013,1784221873,420.0,1784221873,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,421.2,434.6,64,1607.2,597.1,1814.8,agrees
26JUL17ZIDMAR,WTA_MAIN,live_by_only,6,ZID,1784221873,1784295793,1784221873,420.0,1784221873,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,420.0,420.0,30,545.0,1814.7,1814.8,agrees
26JUL18BANGAO,WTA_MAIN,exact,2,BAN,1784329282,1784347762,1784329282,401.0,1784329282,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,405.3,409.4,38,419.2,1004.6,1004.6,agrees
26JUL18BANGAO,WTA_MAIN,exact,2,GAO,1784329282,1784348902,1784329282,401.0,1784329282,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,405.3,409.4,60,1004.4,447.6,1004.6,agrees
26JUL18COSHIB,WTA_MAIN,exact,1,COS,1784332582,1784374942,1784332582,456.0,1784332582,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,456.1,456.1,51,536.6,1149.6,1204.6,agrees
26JUL18COSHIB,WTA_MAIN,exact,1,HIB,1784332582,1784375122,1784332582,456.0,1784332582,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,456.2,456.2,48,702.0,1204.3,1204.6,agrees
26JUL18HONTHA,WTA_MAIN,exact,4,HON,1784351962,1784347162,1784347162,699.0,1784347162,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,699.6,700.6,83,812.3,1004.6,1004.6,agrees
26JUL18HONTHA,WTA_MAIN,exact,4,THA,1784351962,1784349082,1784349082,731.0,1784349082,B_SUSTAINED_TRADE_CADENCE_ARRIVAL,731.8,731.8,13,965.0,909.6,1004.6,agrees
26JUL18SALZOL,WTA_MAIN,clean_interval,2,SAL,1784331502,1784332582,1784331502,438.0,1784331502,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,438.0,438.0,77,554.2,1090.6,1090.6,agrees
26JUL18SALZOL,WTA_MAIN,clean_interval,2,ZOL,1784331502,1784367862,1784331502,438.0,1784331502,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,439.3,440.3,21,453.6,515.3,1090.6,agrees
26JUL19LEPPET,WTA_MAIN,clean_interval,2,LEP,1784416161,1784438541,1784416161,430.0,1784416161,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,435.4,435.4,88,868.5,835.3,961.5,agrees
26JUL19LEPPET,WTA_MAIN,clean_interval,2,PET,1784416161,1784425881,1784416161,430.0,1784416161,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,430.7,430.7,10,485.7,961.4,961.5,agrees
26JUL19MONPIE,WTA_MAIN,exact,3,MON,1784406741,1784438601,1784406741,273.0,1784406741,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,277.5,277.5,74,322.4,1050.7,1050.7,agrees
26JUL19MONPIE,WTA_MAIN,exact,3,PIE,1784406741,1784409741,1784406741,273.0,1784406741,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,275.8,276.1,23,485.6,1050.7,1050.7,agrees
26JUL20KORJIM,WTA_MAIN,exact,11,JIM,1784491523,1784636243,1784491523,516.0,1784491523,A_SPREAD_COLLAPSE_PLUS_CROSS_LEG_MIDSUM_SETTLE,516.1,516.1,30,2492.9,816.2,2990.6,agrees
