code,leg,cat,origin_cell,pair_class,role_CANDIDATE,net_open_edge,floor_cents,floor_first_epoch,floor_pos_frac_of_postonset_span,credited,entry_cents,fill_ts,first_post_ts,read_at_first_post
26JUL17UDVBAD,UDV,WTA_MAIN,51_75,MIRRORED,FALLER,-22.0,26,1784246669.0,0.1936,True,33,1784235832.162,1784235765,FALLING
26JUL17VALFAL,FAL,WTA_CHALL,51_75,MIRRORED,FALLER,-8.0,43,1784272394.5,0.2962,False,,,,
26JUL17VALFAL,VAL,WTA_CHALL,26_50,MIRRORED,CLIMBER,8.5,57,1784263981.3,0.0343,False,,,,
26JUL17VALKOR,KOR,WTA_MAIN,51_75,MIRRORED,FALLER,-5.0,42,1784224708.9,0.0393,True,43,1784232647.43,1784232591,RISING
26JUL17VALKOR,VAL,WTA_MAIN,51_75,MIRRORED,CLIMBER,4.0,54,1784232789.4,0.1456,True,54,1784232789.405,1784232591,FALLING
26JUL17VALTRA,TRA,ATP_MAIN,26_50,FLAT_BOTH,,-3.5,27,1784240529.3,0.5457,True,29,1784240529.32,1784225936,RISING
26JUL17VALTRA,VAL,ATP_MAIN,51_75,FLAT_BOTH,,-1.0,69,1784225930.2,0.083,True,70,1784240778.718,1784225936,FALLING
26JUL17VANTAN,TAN,WTA_CHALL,26_50,FLAT_BOTH,,1.0,39,1784278438.6,0.0241,False,,,1784297133,RISING
26JUL17VANTAN,VAN,WTA_CHALL,51_75,FLAT_BOTH,,-1.0,58,1784297127.0,0.9983,False,,,1784297133,FALLING
26JUL17VUKGAL,GAL,ATP_CHALL,51_75,FLAT_BOTH,,1.0,51,1784319319.1,0.0443,True,51,1784324406.87,1784321638,RISING
26JUL17VUKGAL,VUK,ATP_CHALL,26_50,FLAT_BOTH,,-1.0,47,1784324076.6,0.8113,True,48,1784322423.359,1784321631,FALLING
26JUL17WONJOH,JOH,ATP_CHALL,26_50,MIRRORED,FALLER,-13.0,36,1784322473.6,0.1046,False,,,,
26JUL17WONJOH,WON,ATP_CHALL,26_50,MIRRORED,CLIMBER,15.0,64,1784325518.1,0.7186,False,,,,
26JUL17YANTRE,TRE,WTA_CHALL,26_50,MIRRORED,FALLER,-9.0,41,1784291439.0,0.0878,False,,,,
