ts_epoch,ts_et,tminus_bell_s,bid_1,bid_1_sz,ask_1,ask_1_sz
1784009978,2026-07-14 02:19:38 AM,39364.9,83,500,84,2079
1784010014,2026-07-14 02:20:14 AM,39328.9,83,497,84,2079
1784010153,2026-07-14 02:22:33 AM,39189.9,83,397,84,2079
1784010154,2026-07-14 02:22:34 AM,39188.9,83,297,84,2079
1784010154,2026-07-14 02:22:34 AM,39188.9,83,197,84,2079
1784010154,2026-07-14 02:22:34 AM,39188.9,83,97,84,2079
1784010154,2026-07-14 02:22:34 AM,39188.9,82,2351,84,2079
1784010154,2026-07-14 02:22:34 AM,39188.9,82,2851,84,2079
1784010158,2026-07-14 02:22:38 AM,39184.9,83,3,84,2079
1784010175,2026-07-14 02:22:55 AM,39167.9,83,3,84,2479
1784010232,2026-07-14 02:23:52 AM,39110.9,83,3,84,2079
1784010368,2026-07-14 02:26:08 AM,38974.9,82,3389,84,2079
1784010368,2026-07-14 02:26:08 AM,38974.9,82,3889,84,2079
1784010442,2026-07-14 02:27:22 AM,38900.9,82,3899,84,2079
1784010442,2026-07-14 02:27:22 AM,38900.9,82,3899,84,2089
1784010589,2026-07-14 02:29:49 AM,38753.9,82,3900,84,2089
1784010916,2026-07-14 02:35:16 AM,38426.9,82,3900,84,1994
1784010986,2026-07-14 02:36:26 AM,38356.9,82,3890,84,1994
1784010990,2026-07-14 02:36:30 AM,38352.9,82,3889,84,1994
1784010994,2026-07-14 02:36:34 AM,38348.9,82,3889,84,1984
1784011356,2026-07-14 02:42:36 AM,37986.9,83,3,84,1984
1784011401,2026-07-14 02:43:21 AM,37941.9,83,3,84,2384
1784011429,2026-07-14 02:43:49 AM,37913.9,83,103,84,2384
1784011429,2026-07-14 02:43:49 AM,37913.9,83,203,84,2384
1784011429,2026-07-14 02:43:49 AM,37913.9,83,303,84,2384
1784011429,2026-07-14 02:43:49 AM,37913.9,83,403,84,2384
1784011429,2026-07-14 02:43:49 AM,37913.9,83,499,84,2384
1784011556,2026-07-14 02:45:56 AM,37786.9,83,496,84,2384
1784011787,2026-07-14 02:49:47 AM,37555.9,83,396,84,2384
1784011787,2026-07-14 02:49:47 AM,37555.9,83,296,84,2384
1784011787,2026-07-14 02:49:47 AM,37555.9,83,196,84,2384
1784011787,2026-07-14 02:49:47 AM,37555.9,83,96,84,2384
1784011787,2026-07-14 02:49:47 AM,37555.9,82,2351,84,2384
1784011787,2026-07-14 02:49:47 AM,37555.9,82,2851,84,2384
1784011812,2026-07-14 02:50:12 AM,37530.9,82,2951,84,2384
1784011812,2026-07-14 02:50:12 AM,37530.9,82,3051,84,2384
1784011812,2026-07-14 02:50:12 AM,37530.9,82,3151,84,2384
1784011812,2026-07-14 02:50:12 AM,37530.9,82,3251,84,2384
1784011812,2026-07-14 02:50:12 AM,37530.9,82,3351,84,2384
1784011812,2026-07-14 02:50:12 AM,37530.9,82,3451,84,2384
1784011812,2026-07-14 02:50:12 AM,37530.9,82,3551,84,2384
1784011812,2026-07-14 02:50:12 AM,37530.9,82,3551,84,1984
1784011812,2026-07-14 02:50:12 AM,37530.9,82,3651,84,1984
1784011812,2026-07-14 02:50:12 AM,37530.9,82,3751,84,1984
1784011812,2026-07-14 02:50:12 AM,37530.9,82,3851,84,1984
1784011813,2026-07-14 02:50:13 AM,37529.9,82,3892,84,1984
1784011943,2026-07-14 02:52:23 AM,37399.9,82,3902,84,1984
1784011944,2026-07-14 02:52:24 AM,37398.9,82,3902,84,1994
1784012446,2026-07-14 03:00:46 AM,36896.9,82,3892,84,1994
1784012479,2026-07-14 03:01:19 AM,36863.9,82,3892,84,1984
1784012572,2026-07-14 03:02:52 AM,36770.9,83,3,84,1984
1784012585,2026-07-14 03:03:05 AM,36757.9,83,3,84,2384
1784012708,2026-07-14 03:05:08 AM,36634.9,83,3,84,1984
1784012719,2026-07-14 03:05:19 AM,36623.9,83,3,84,2384
1784012783,2026-07-14 03:06:23 AM,36559.9,82,3392,84,2384
1784012783,2026-07-14 03:06:23 AM,36559.9,82,3892,84,2384
1784012783,2026-07-14 03:06:23 AM,36559.9,82,3892,84,1984
1784013099,2026-07-14 03:11:39 AM,36243.9,82,2156,84,1984
1784013099,2026-07-14 03:11:39 AM,36243.9,82,2156,84,2384
1784013292,2026-07-14 03:14:52 AM,36050.9,82,2156,84,1984
1784013347,2026-07-14 03:15:47 AM,35995.9,82,2156,84,2384
1784013348,2026-07-14 03:15:48 AM,35994.9,82,2156,84,1984
1784013360,2026-07-14 03:16:00 AM,35982.9,82,2156,84,2384
1784013454,2026-07-14 03:17:34 AM,35888.9,82,2166,84,2384
1784013454,2026-07-14 03:17:34 AM,35888.9,82,2166,84,2394
1784013520,2026-07-14 03:18:40 AM,35822.9,82,2156,84,2394
1784013534,2026-07-14 03:18:54 AM,35808.9,82,2156,84,2384
1784013804,2026-07-14 03:23:24 AM,35538.9,83,3,84,2384
1784013981,2026-07-14 03:26:21 AM,35361.9,83,3,84,2373
1784014014,2026-07-14 03:26:54 AM,35328.9,82,1575,84,2373
1784014014,2026-07-14 03:26:54 AM,35328.9,82,1656,84,2373
1784014014,2026-07-14 03:26:54 AM,35328.9,82,2156,84,2373
1784014160,2026-07-14 03:29:20 AM,35182.9,83,4,84,2373
1784014160,2026-07-14 03:29:20 AM,35182.9,83,4,84,2419
1784014370,2026-07-14 03:32:50 AM,34972.9,82,1679,84,2419
1784014370,2026-07-14 03:32:50 AM,34972.9,82,2179,84,2419
1784014420,2026-07-14 03:33:40 AM,34922.9,83,4,84,2419
1784014466,2026-07-14 03:34:26 AM,34876.9,83,104,84,2419
1784014466,2026-07-14 03:34:26 AM,34876.9,83,204,84,2419
1784014466,2026-07-14 03:34:26 AM,34876.9,83,304,84,2419
1784014466,2026-07-14 03:34:26 AM,34876.9,83,404,84,2419
1784014466,2026-07-14 03:34:26 AM,34876.9,83,497,84,2419
1784014631,2026-07-14 03:37:11 AM,34711.9,83,493,84,2419
1784014767,2026-07-14 03:39:27 AM,34575.9,83,393,84,2419
1784014767,2026-07-14 03:39:27 AM,34575.9,83,293,84,2419
1784014767,2026-07-14 03:39:27 AM,34575.9,83,193,84,2419
1784014767,2026-07-14 03:39:27 AM,34575.9,83,93,84,2419
1784014767,2026-07-14 03:39:27 AM,34575.9,82,2374,84,2419
1784014767,2026-07-14 03:39:27 AM,34575.9,82,2874,84,2419
1784014795,2026-07-14 03:39:55 AM,34547.9,82,2974,84,2419
1784014795,2026-07-14 03:39:55 AM,34547.9,82,3074,84,2419
1784014795,2026-07-14 03:39:55 AM,34547.9,82,3174,84,2419
1784014795,2026-07-14 03:39:55 AM,34547.9,82,3274,84,2419
1784014795,2026-07-14 03:39:55 AM,34547.9,82,3274,84,2019
1784014795,2026-07-14 03:39:55 AM,34547.9,82,3374,84,2019
1784014795,2026-07-14 03:39:55 AM,34547.9,82,3474,84,2019
1784014795,2026-07-14 03:39:55 AM,34547.9,82,3574,84,2019
1784014795,2026-07-14 03:39:55 AM,34547.9,82,3674,84,2019
1784014795,2026-07-14 03:39:55 AM,34547.9,82,3774,84,2019
1784014795,2026-07-14 03:39:55 AM,34547.9,82,3874,84,2019
1784014796,2026-07-14 03:39:56 AM,34546.9,82,3907,84,2019
1784014864,2026-07-14 03:41:04 AM,34478.9,82,3907,84,2419
1784014869,2026-07-14 03:41:09 AM,34473.9,82,3907,84,2019
1784015001,2026-07-14 03:43:21 AM,34341.9,82,3884,84,2019
1784015001,2026-07-14 03:43:21 AM,34341.9,82,3884,84,1973
1784016030,2026-07-14 04:00:30 AM,33312.9,82,3884,84,2068
1784016666,2026-07-14 04:11:06 AM,32676.9,82,3884,84,2067
1784016709,2026-07-14 04:11:49 AM,32633.9,82,2148,84,2067
1784016817,2026-07-14 04:13:37 AM,32525.9,82,2148,84,2467
1784016885,2026-07-14 04:14:45 AM,32457.9,83,3,84,2467
1784017095,2026-07-14 04:18:15 AM,32247.9,82,1648,84,2467
1784017095,2026-07-14 04:18:15 AM,32247.9,82,2148,84,2467
1784017509,2026-07-14 04:25:09 AM,31833.9,82,2158,84,2467
1784017509,2026-07-14 04:25:09 AM,31833.9,82,2158,84,2067
1784017510,2026-07-14 04:25:10 AM,31832.9,82,2158,84,2077
1784017600,2026-07-14 04:26:40 AM,31742.9,82,2148,84,2077
1784017606,2026-07-14 04:26:46 AM,31736.9,82,2148,84,2067
1784017657,2026-07-14 04:27:37 AM,31685.9,82,2148,84,1972
1784017709,2026-07-14 04:28:29 AM,31633.9,82,2158,84,1972
1784017710,2026-07-14 04:28:30 AM,31632.9,82,2158,84,1982
1784017736,2026-07-14 04:28:56 AM,31606.9,82,2148,84,1982
1784017746,2026-07-14 04:29:06 AM,31596.9,82,2148,84,1972
1784017821,2026-07-14 04:30:21 AM,31521.9,83,3,84,1972
1784017834,2026-07-14 04:30:34 AM,31508.9,83,3,84,2372
1784017837,2026-07-14 04:30:37 AM,31505.9,83,8,84,2372
1784018020,2026-07-14 04:33:40 AM,31322.9,83,5,84,2372
1784018195,2026-07-14 04:36:35 AM,31147.9,83,105,84,2372
1784018195,2026-07-14 04:36:35 AM,31147.9,83,205,84,2372
1784018195,2026-07-14 04:36:35 AM,31147.9,83,305,84,2372
1784018195,2026-07-14 04:36:35 AM,31147.9,83,405,84,2372
1784018195,2026-07-14 04:36:35 AM,31147.9,83,497,84,2372
1784018591,2026-07-14 04:43:11 AM,30751.9,83,498,84,2372
1784018642,2026-07-14 04:44:02 AM,30700.9,83,508,84,2372
1784018642,2026-07-14 04:44:02 AM,30700.9,83,508,84,2382
1784018660,2026-07-14 04:44:20 AM,30682.9,83,498,84,2382
1784018660,2026-07-14 04:44:20 AM,30682.9,83,498,84,2372
1784018747,2026-07-14 04:45:47 AM,30595.9,83,508,84,2372
1784018747,2026-07-14 04:45:47 AM,30595.9,83,508,84,2382
1784018759,2026-07-14 04:45:59 AM,30583.9,83,498,84,2382
1784018769,2026-07-14 04:46:09 AM,30573.9,83,498,84,2372
1784018945,2026-07-14 04:49:05 AM,30397.9,83,499,84,2372
1784019264,2026-07-14 04:54:24 AM,30078.9,83,499,84,2872
1784019269,2026-07-14 04:54:29 AM,30073.9,83,499,84,2372
1784019380,2026-07-14 04:56:20 AM,29962.9,83,500,84,2372
1784019748,2026-07-14 05:02:28 AM,29594.9,83,504,84,2372
1784019748,2026-07-14 05:02:28 AM,29594.9,83,504,84,2370
1784020312,2026-07-14 05:11:52 AM,29030.9,83,507,84,2370
1784020312,2026-07-14 05:11:52 AM,29030.9,83,507,84,7370
1784020721,2026-07-14 05:18:41 AM,28621.9,83,517,84,7370
1784020721,2026-07-14 05:18:41 AM,28621.9,83,517,84,7380
1784020813,2026-07-14 05:20:13 AM,28529.9,83,517,84,2380
1784020813,2026-07-14 05:20:13 AM,28529.9,83,517,84,1980
1784020926,2026-07-14 05:22:06 AM,28416.9,83,507,84,1980
1784020934,2026-07-14 05:22:14 AM,28408.9,83,507,84,1970
1784021213,2026-07-14 05:26:53 AM,28129.9,83,508,84,1970
1784021655,2026-07-14 05:34:15 AM,27687.9,83,511,84,1970
1784021939,2026-07-14 05:38:59 AM,27403.9,83,521,84,1970
1784021939,2026-07-14 05:38:59 AM,27403.9,83,521,84,1980
1784021939,2026-07-14 05:38:59 AM,27403.9,83,921,84,1980
1784021939,2026-07-14 05:38:59 AM,27403.9,83,921,84,1607
